FACTIONS	Faction Name in Capitals	In Game Name	Nationality Associated with Faction	ID	Culture	Religion	Primary Colour (RGB)			Secondary Colour (RGB)			Custom Battles Availability	Prefers Naval Invasions	Can Have Princess	Family Tree Type	Disband to Pools	Can Have Siege Towers	Playable?	CAMPAIGN	Economy AI	Military AI	Starting Treasury	King's Purse	PSF Garrison Unit	Long Campaign Regions to Hold	Long Campaign Number of Regions to Take	Long Campaign Factions to Outlive	Short Campaign Regions to Hold	Short Campaign Number of Regions to Take	Short Campaign Factions to Outlive	Dictionary	GENERAL	Battle Model	CAPTAIN	Battle Model	ADMIRAL	ASSASSIN	DIPLOMAT	MERCHANT	PRIEST	PRINCESS	SPY	WITCH	HERETIC	INQUISITOR	Faction Strength	Faction Weakness	Faction Unit	Faction Victory	Faction Leader	Faction Leader Name	Faction Leader Title	Faction Heir	Faction Heir Name	Faction Heir Title	ADMIRAL	ASSASSIN	CAPITAL	CASTLE	CITY	DIPLOMAT	DOCK	FISHING VILLAGE	FORMER FACTION LEADER TITLE	FORT	FORTRESS	GENERAL	HUGE CITY	LARGE CASTLE	LARGE CITY	LARGE TOWN	MERCHANT	NAMED GENERAL	NAMED CHARACTER	PORT	PRIEST 1	PRIEST 2	PRIEST	PRINCESS	SPY	STAR FORT	STONE KEEP	TOWN	VILLAGE	WATCHTOWER	WOODEN CASTLE
georgia	GEORGIA	Sakartvelo	Georgian	9	greek	oriental	255	255	255	255	0	0	yes	no	yes	yes	yes	yes	yes	-	fortified	henry	10000	5000	Peasants	Kutaisi_Province Tbilisi_Province	10	-	Tbilisi_Province	5	-	2	ortho_dots_gen, ortho_dots_gen, ortho_dots_gen	Northern_General	ortho_dots_gen	Northern_Captain	navy_galley	southern_assassin	southern_ambassador	southern_merchant	orthodox_priest, orthodox_bishop, orthodox_patriarch	southern_princess	southern_spy	-	-	-	Defensible homelands	Many enemies	1 settlement	Sakartvelo is victorious!	Mep’e	Mep’e %S	Faction Leader	T’avadi	T’avadi %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Mep’e	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Priest	Bishop	Patriarch	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
hre	HRE	Imperium Romanum Sacrum	Imperial	10	central_european	catholic	202	10	9	255	255	255	yes	no	yes	yes	yes	yes	yes	-	bureaucrat	henry	10000	5000	Peasants	Aix_Province Augsburg_Province Basel_Province Bremen_Province Cologne_Province Erfurt_Province Lyon_Province Magdeburg_Province Regensburg_Province Trier_Province Utrecht_Province Vienna_Province Worms_Province Kaliningrad_Province Milan_Province Bologna_Province Ancona_Province Verona_Province Ravenna_Province Turin_Province	20	-	Rome_Province	10	-	2	euro_dots_captain, euro_dots_noble, euro_dots_noble	Northern_General	euro_dots_captain	Northern_Captain	navy_cog	northern_assassin	northern_ambassador	northern_merchant	catholic_priest, catholic_bishop, catholic_cardinal	northern_princess	northern_spy	-	-	-	Large faction	Internally vulnerable	?	Imperium Romanum Sacrum is victorious!	Imperator	Imperator %S	Faction Leader	Rex	Rex %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Imperator	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Bishop	Archbishop	Cardinal	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
hungary	HUNGARY	Magyar uruszág	Hungarian	11	central_european	catholic	255	255	255	255	0	0	yes	no	yes	yes	yes	yes	yes	-	trader	henry	10000	5000	Peasants	Gyulafehervar_Province Szekesfehervar_Province Biograd_Province	10	-	Szekesfehervar_Province	5	-	2	euro_dots_captain, euro_dots_noble, euro_dots_noble	Northern_General	euro_dots_captain	Northern_Captain	navy_cog	northern_assassin	northern_ambassador	northern_merchant	catholic_priest, catholic_bishop, catholic_cardinal	northern_princess	northern_spy	-	-	-	Powerful infrastructure	Many enemies	3 settlements	Magyarország is victorious!	Király	Király %S	Faction Leader	Herceg	Herceg %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Király	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Bishop	Archbishop	Cardinal	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
kiev	KIEV	Rus'	Ruthenian	12	eastern_european	orthodox	29	121	194	255	255	0	yes	no	yes	yes	yes	yes	yes	-	bureaucrat	napoleon	10000	5000	Peasants	Berestie_Province Chernihiv_Province Kiev_Province Lviv_Province Pereyaslavl_Province Polotsk_Province Rostov_Province Ryazan_Province Smolensk_Province Turov_Province Novgorod_Province Pskov_Province	12	-	Kiev_Province	6	-	2	rus_dots_druzhina, rus_dots_noble, rus_dots_cloaked	Northern_General	rus_dots_druzhina	Northern_Captain	navy_cog	northern_assassin	northern_ambassador	northern_merchant	orthodox_priest, orthodox_bishop, orthodox_patriarch	northern_princess	northern_spy	-	-	-	Excellent expansion options	Many enemies	?	Rus' is victorious!	Velikiy Knyaz'	Velikiy Knyaz' %S	Faction Leader	Prince	Prince %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Velikiy Knyaz'	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Priest	Bishop	Patriarch	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
lithuania	LITHUANIA	Lietuva	Lithuanian	13	eastern_european	pagan	166	44	43	255	255	255	yes	no	yes	yes	yes	yes	yes	-	balanced	henry	10000	5000	Peasants	Vilnius_Province Berestie_Province	10	-	Vilnius_Province	5	-	2	lith_dots_sword, lith_dots_noble, lith_dots_noble	Northern_General	lith_dots_sword	Northern_Captain	navy_cog	northern_assassin	northern_ambassador	northern_merchant	catholic_priest, catholic_bishop, catholic_cardinal	northern_princess	northern_spy	-	-	-	Excellent expansion options	Poor starting infrastructure	1 settlement	Lietuva is victorious!	Valdovas	Valdovas %S	Faction Leader	Ipedinis	Ipedinis %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Valdovas	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Priest	Priest	Priest	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
milan	MILAN	Comuni Liberi	Lombard-Ligurian	14	southern_european	catholic	255	255	255	255	0	0	yes	yes	yes	yes	yes	yes	yes	-	sailor	henry	10000	5000	Peasants	Genoa_Province Milan_Province Turin_Province Bologna_Province Verona_Province Ravenna_Province Ancona_Province	10	-	Milan_Province Genoa_Province	5	-	2	euro_dots_captain, euro_dots_noble, euro_dots_noble	Northern_General	euro_dots_captain	Northern_Captain	navy_galley	southern_assassin	southern_ambassador	southern_merchant	catholic_priest, catholic_bishop, catholic_cardinal	southern_princess	southern_spy	-	-	-	Strong Infrastructure	Competitive expansion options	?	Comuni Liberi is victorious!	Signore	Signore %S	Faction Leader	Prince	Prince %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Signore	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Bishop	Archbishop	Cardinal	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
moors	MOORS	Maghrib	Moorish	15	middle_eastern	islam	218	217	213	0	0	0	yes	yes	no	yes	yes	yes	yes	-	balanced	caesar	10000	5000	Peasants	Badajoz_Province Bejaia_Province Ceuta_Province Cordoba_Province Fashir_Province Fez_Province Granada_Province Marrakech_Province Palma_Province Saragossa_Province Seville_Province Sijilmasa_Province Silves_Province Takrur_Province Tlemcen_Province Tozeur_Province Tuat_Province Valencia_Province	20	-	Marrakech_Province	10	-	2	muslim_dots_armoured, muslim_dots_noble, muslim_dots_noble	Eastern_General	muslim_dots_jihadist	Eastern_Captain	navy_dhow	islamic_assassin	islamic_ambassador	islamic_merchant	muslim_iman, muslim_iman, muslim_iman	-	islamic_spy	-	-	-	Huge faction	Competitive expansion options	?	Maghrib is victorious!	Amir	Amir %S	Faction Leader	Mirza	Mirza %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Amir	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Imam	Great Imam	Grand Imam	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
norway	NORWAY	Noregr	Norwegian	16	northern_european	catholic	190	47	33	255	255	0	yes	yes	yes	yes	yes	yes	yes	-	trader	mao	10000	5000	Peasants	Bergen_Province Skalholt_Province Trondheim_Province Tuam_Province Kirkwall_Province	10	-	Bergen_Province	5	-	2	euro_dots_captain, rus_dots_noble, euro_dots_noble	Northern_General	euro_dots_captain	Northern_Captain	navy_cog	northern_assassin	northern_ambassador	northern_merchant	catholic_priest, catholic_bishop, catholic_cardinal	northern_princess	northern_spy	-	-	-	Unrivalled sea access	Limited infrastructure	4 settlements	Noregr is victorious!	Konung	Konung %S	Faction Leader	Kronprins	Kronprins %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Konung	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Bishop	Archbishop	Cardinal	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
novgorod	NOVGOROD	Novgorod	Novgorodian	17	eastern_european	orthodox	43	138	212	255	255	0	yes	no	yes	yes	yes	yes	yes	-	trader	mao	10000	5000	Peasants	Novgorod_Province Pskov_Province Kholmogory_Province	10	-	Novgorod_Province	5	-	2	rus_dots_druzhina, northern_general, rus_dots_cloaked	Northern_General	rus_dots_druzhina	Northern_Captain	navy_cog	northern_assassin	northern_ambassador	northern_merchant	orthodox_priest, orthodox_bishop, orthodox_patriarch	northern_princess	northern_spy	-	-	-	Promising infrastructure	Weak start	1 settlement	Novgorod is victorious!	Knyaz' Novgorodskiy	Knyaz' Novgorodskiy %S	Faction Leader	Prince	Prince %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Knyaz' Novgorodskiy	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Priest	Bishop	Patriarch	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
pisa	PISA	Comuni Toscani	Tuscan	18	southern_european	catholic	255	0	0	255	255	255	yes	yes	yes	yes	yes	yes	yes	-	sailor	napoleon	10000	5000	Peasants	Pisa_Province Florence_Province Bonifacio_Province Cagliari_Province	10	-	Pisa_Province Florence_Province	5	-	2	euro_dots_captain, euro_dots_noble, euro_dots_noble	Northern_General	euro_dots_captain	Northern_Captain	navy_galley	southern_assassin	southern_ambassador	southern_merchant	catholic_priest, catholic_bishop, catholic_cardinal	southern_princess	southern_spy	-	-	-	Promising start	Competitive expansion options	?	Comuni Toscani is victorious!	Signore	Signore %S	Faction Leader	Prince	Prince %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Signore	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Bishop	Archbishop	Cardinal	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
poland	POLAND	Polska	Polish	19	central_european	catholic	205	26	22	255	255	255	yes	no	yes	yes	yes	yes	yes	-	balanced	henry	10000	5000	Peasants	Krakow_Province Plock_Province Poznan_Province Wroclaw_Province Stettin_Province Gdansk_Province Lviv_Province Berestie_Province	10	-	Krakow_Province	5	-	2	euro_dots_captain, euro_dots_noble, euro_dots_noble	Northern_General	euro_dots_captain	Northern_Captain	navy_cog	northern_assassin	northern_ambassador	northern_merchant	catholic_priest, catholic_bishop, catholic_cardinal	northern_princess	northern_spy	-	-	-	Good expansion options	Many enemies	4 settlements	Polska is victorious!	Suwerenny	Suwerenny %S	Faction Leader	Ksiaze	Ksiaze %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Suwerenny	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Bishop	Archbishop	Cardinal	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
portugal	PORTUGAL	Portugal	Portuguese	20	southern_european	catholic	255	255	255	0	0	255	yes	yes	yes	yes	yes	yes	yes	-	sailor	napoleon	10000	5000	Peasants	Coimbra_Province Badajoz_Province Silves_Province	10	-	Coimbra_Province	5	-	2	euro_dots_captain, euro_dots_noble, euro_dots_noble	Northern_General	euro_dots_captain	Northern_Captain	navy_galley	southern_assassin	southern_ambassador	southern_merchant	catholic_priest, catholic_bishop, catholic_cardinal	southern_princess	southern_spy	-	-	-	Excellent expansion options	Weak start	1 settlement	Portugal is victorious!	Rei	Rei %S	Faction Leader	Príncipe	Príncipe %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Rei	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Bishop	Archbishop	Cardinal	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
scotland	SCOTLAND	Alba	Scottish	21	northern_european	catholic	219	176	82	255	0	0	yes	no	yes	yes	yes	yes	yes	-	fortified	napoleon	10000	5000	Peasants	Elgin_Province Kirkwall_Province Perth_Province York_Province	10	-	Perth_Province	5	-	2	euro_dots_captain, euro_dots_noble, euro_dots_noble	Northern_General	euro_dots_captain	Northern_Captain	navy_cog	northern_assassin	northern_ambassador	northern_merchant	catholic_priest, catholic_bishop, catholic_cardinal	northern_princess	northern_spy	-	-	-	Developing power	Limited expansion options	2 settlements	Alba is victorious!	Ri	Ri %S	Faction Leader	Tánaiste	Tánaiste %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Ri	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Bishop	Archbishop	Cardinal	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
seljuks	SELJUKS	Eransahr	Persian	22	middle_eastern	islam	89	158	215	0	0	0	yes	no	no	yes	yes	yes	yes	-	balanced	stalin	10000	5000	Peasants	Ardabil_Province Derbent_Province Gorgan_Province Hamadan_Province Isfahan_Province Jend_Province Kerman_Province Marv_Province Muscat_Province Nishapur_Province Ray_Province Shamakhi_Province Shiraz_Province Ufa_Province Urgench_Province Zaranj_Province Baghdad_Province Mecca_Province Jerusalem_Province Chabahar_Province	30	-	Isfahan_Province Mecca_Province Jerusalem_Province	20	-	2	steppe_dots_peasant, steppe_dots_noble, steppe_dots_noble	Eastern_General	steppe_dots_peasant	Eastern_Captain	navy_dhow	islamic_assassin	islamic_ambassador	islamic_merchant	muslim_iman, muslim_iman, muslim_iman	-	islamic_spy	-	-	-	Excellent start	Many enemies	?	Aryanam is victorious!	Sultan	Sultan %S	Faction Leader	Effendi Hazlatlari	Effendi Hazlatlari %S	Faction Heir	Admiral	Assassin	Capital	Castle	City	Diplomat	Dock	Coastal Town	Sultan	Settlement	Fortress	General	Huge City	Large Castle	Large City	Large Town	Merchant	Named General	Family Member	Port	Imam	Great Imam	Grand Imam	Princess	Spy	Star Fort	Stone Keep	Town	Small Town	Watchtower	Wooden Castle
