Trigger Description	Trigger Reference Name	Event When to Test	Ancillary to Award	Chance	Base Condition	Conditions (separated by comma)
-	Caliph_of_Baghdad_trigger	CharacterTurnEndInSettlement	Caliph_of_Baghdad	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, not FactionCultureType southern_european, not FactionCultureType greek, not FactionCultureType central_european, not FactionCultureType northern_european, not FactionCultureType eastern_european, not HasAncType politics, EndedInSettlement, SettlementName Baghdad_Province, TimeInRegion > 5, not WorldwideAncillaryExists Caliph_of_Baghdad, Attribute Command>= 2, Attribute Authority >= 2, Piety >= 5
-	Caliph_trigger	CharacterTurnEndInSettlement	Caliph	100	IsFactionLeader 	FactionCultureType middle_eastern, FactionBuildingExists = Al_Khilafah
-	Chamberlain_of_France_trigger	CharacterTurnEndInSettlement	Chamberlain_of_France	80	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType france, not HasAncType Politics, Attribute Loyalty >= 6, not FactionwideAncillaryExists Chamberlain_of_France, Attribute Authority >= 1
-	Chamberlain_trigger	CharacterTurnEndInSettlement	Chamberlain	80	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType norway, not HasAncType Politics, not FactionwideAncillaryExists Chamberlain, Attribute Authority >= 1, Attribute Loyalty >= 6,
-	champion_of_christ_shia_trigger	PostBattle	champion_of_christ	70	IsGeneral	TargetFactionReligion shia, FactionReligion catholic, FactionCultureType central_european, DiplomaticStanceFromFaction papacy > Allies, not FactionwideAncillaryExists champion_of_christ, Attribute Command >= 5,  Attribute Loyalty >= 5,
-	champion_of_christ_sunni_trigger	PostBattle	champion_of_christ	70	IsGeneral	TargetFactionReligion islam, FactionReligion catholic, FactionCultureType central_european, DiplomaticStanceFromFaction papacy > Allies, not FactionwideAncillaryExists champion_of_christ, Attribute Command >= 5,  Attribute Loyalty >= 5,
-	Chancellor_of_the_Exchequer_trigger	CharacterTurnEndInSettlement	Chancellor_of_the_Exchequer	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType england, not HasAncType Politics, not FactionwideAncillaryExists Chancellor_of_the_Exchequer, SettlementBuildingExists = Kings_Court,  Attribute Authority >= 1, Attribute Loyalty >= 6,
-	Chief_Justice_of_the_Common_Pleas_trigger	CharacterTurnEndInSettlement	Chief_Justice_of_the_Common_Pleas	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType england, not HasAncType Politics, not FactionwideAncillaryExists Chief_Justice_of_the_Common_Pleas, SettlementBuildingExists = Coram_rege_banco,  Attribute Authority <= 2, Attribute Loyalty >= 5,  Attribute piety>= 2,
-	Chief_of_finances_alt_trigger	CharacterTurnEndInSettlement	Chief_of_finances_alt	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType portugal, not HasAncType Politics, not FactionwideAncillaryExists Chief_of_finances_alt, Attribute Authority >= 1, Attribute Loyalty >= 6, 
-	Chief_of_finances_trigger	CharacterTurnEndInSettlement	Chief_of_finances	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType aragon, not HasAncType Politics, not FactionwideAncillaryExists Chief_of_finances,  Attribute Authority >= 1, Attribute Loyalty >= 6, 
-	Chief_of_the_Chancellery_trigger	CharacterTurnEndInSettlement	Chief_of_the_Chancellery	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType egypt, not HasAncType Politics, not FactionwideAncillaryExists Chief_of_the_Chancellery,  Attribute Authority >= 1, Attribute Loyalty >= 6, 
-	Chief_of_the_Palace_trigger	CharacterTurnEndInSettlement	Chief_of_the_Palace	80	IsFactionLeader	not IsFactionLeader, not IsFactionHeir, FactionType byzantium, not HasAncType Politics, not FactionwideAncillaryExists Chief_of_the_Palace, EndedInSettlement, SettlementName Constantinople_Province, TimeInRegion > 2, Attribute Authority <= 2, Attribute Loyalty >= 7, 
-	Civilian_Governor_trigger	CharacterTurnEndInSettlement	Civilian_Governor	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionCultureType southern_european, not HasAncType Politics, Attribute Loyalty >= 5, Attribute Command <= 4, EndedInSettlement, SettlementName Turin_Province,  EndedInSettlement, SettlementName Verona_Province, EndedInSettlement, SettlementName Genoa_Province, EndedInSettlement, SettlementName Milan_Province, EndedInSettlement, SettlementName Bologna_Province, TimeInRegion > 1,
-	Commander_in_Chief_alt_trigger	PostBattle	Commander_in_Chief_alt	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType byzantium,  Attribute Command >= 5, not FactionwideAncillaryExists Commander_in_Chief_alt, Attribute Authority >= 1, Attribute Loyalty >= 6,
-	Commander_in_Chief_trigger	PostBattle	Commander_in_Chief	70	IsGeneral	FactionCultureType southern_european, Attribute Command >= 5, not FactionwideAncillaryExists Commander_in_Chief, Attribute Authority >= 1, Attribute Loyalty >= 6,
-	Commander_of_Ceremonies_trigger	CharacterTurnEndInSettlement	Commander_of_Ceremonies	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType byzantium, not HasAncType Politics, not FactionwideAncillaryExists Commander_of_Ceremonies, Attribute Authority >= 1, Attribute Loyalty >= 5,
-	Commander_of_the_Armed_Forces_trigger	PostBattle	Commander_of_the_Armed_Forces	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionCultureType middle_eastern, not HasAncType Politics, not FactionwideAncillaryExists Commander_of_the_Armed_Forces, Attribute Command >= 4, Attribute Authority >= 1, Attribute Loyalty >= 6,
-	Commander_of_the_Camp_trigger	PostBattle	Commander_of_the_Camp	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType byzantium, not HasAncType politics, not FactionwideAncillaryExists Commander_of_the_Camp, EndedInSettlement, SettlementName Constantinople_Province,
-	Commander_of_the_Cavalry_trigger	PostBattle	Commander_of_the_Cavalry	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType portugal, not HasAncType politics, not FactionwideAncillaryExists Commander_of_the_Cavalry, Attribute CavalryCommand >= 3, Attribute Authority>= 1, Attribute Loyalty >= 4,
-	Commander_of_the_Faithful_trigger	OccupySettlement	Commander_of_the_Faithful	100	IsGeneral	FactionCultureType middle_eastern, SettlementsTaken = 2,  Attribute Command >= 3, Attribute Authority >= 3, Attribute piety >= 5, IsOnJihad, not FactionwideAncillaryExists Commander_of_the_Faithful
-	Commander_of_the_Infantry_trigger	PostBattle	Commander_of_the_Infantry	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType portugal, not HasAncType politics,  not FactionwideAncillaryExists Commander_of_the_Infantry, Attribute InfantryCommand >= 3, Attribute Authority >= 1, Attribute Loyalty >= 4, 
-	Commander_of_the_Mamluks_trigger	PostBattle	Commander_of_the_Mamluks	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionCultureType middle_eastern, not HasAncType politics, not WorldwideAncillaryExists Commander_of_the_Mamluks, I_TurnNumber  >= 320, FactionBuildingExists Haymana
-	Comune_Prime_Minister_ancona_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_ancona	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_ancona, EndedInSettlement, SettlementName Ancona_Province, TimeInRegion >= 10,
-	Comune_Prime_Minister_bologna_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_bologna	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_bologna, EndedInSettlement, SettlementName Bologna_Province, TimeInRegion >= 10,
-	Comune_Prime_Minister_florence_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_florence	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_florence, EndedInSettlement, SettlementName Florence_Province, TimeInRegion >= 10,
-	Comune_Prime_Minister_genoa_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_genoa	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_genoa, EndedInSettlement, SettlementName Genoa_Province, TimeInRegion >= 10,
-	Comune_Prime_Minister_milan_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_milan	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_milan, EndedInSettlement, SettlementName Milan_Province, TimeInRegion >= 10,
-	Comune_Prime_Minister_pisa_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_pisa	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_pisa, EndedInSettlement, SettlementName Pisa_Province, TimeInRegion >= 10,
-	Comune_Prime_Minister_ravenna_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_ravenna	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_ravenna, EndedInSettlement, SettlementName Ravenna_Province, TimeInRegion >= 10,
-	Comune_Prime_Minister_turin_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_turin	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_turin, EndedInSettlement, SettlementName Turin_Province, TimeInRegion >= 10,
-	Comune_Prime_Minister_venice_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_venice	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_venice, EndedInSettlement, SettlementName Venice_Province, TimeInRegion >= 10,
-	Comune_Prime_Minister_verona_trigger	CharacterTurnEndInSettlement	Comune_Prime_Minister_verona	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = merchant_estates, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_verona, EndedInSettlement, SettlementName Verona_Province, TimeInRegion >= 10,
-	Constable_of_Antioch_trigger	CharacterTurnEndInSettlement	Constable_of_Antioch	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionReligion catholic, not FactionwideAncillaryExists Constable_of_Antioch, EndedInSettlement, SettlementName Antioch_Province, Attribute Command >= 2, Attribute Authority>= 1, Attribute piety>= 2, Attribute Loyalty >= 6,
-	Constable_of_France_trigger	CharacterTurnEndInSettlement	Constable_of_France	70	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType france, Attribute Loyalty >= 7, not FactionwideAncillaryExists Constable_of_France, Attribute Command >= 2, Attribute Authority>= 1,  not HasAncType politics,
-	Consul_Ancona_trigger	CharacterTurnEndInSettlement	Consul_Ancona	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_ancona, EndedInSettlement, SettlementName Ancona_Province, TimeInRegion >= 10,
-	Consul_Bologna_trigger	CharacterTurnEndInSettlement	Consul_Bologna	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists =  noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_bologna, EndedInSettlement, SettlementName Bologna_Province, TimeInRegion >= 10,
-	Consul_Florence_trigger	CharacterTurnEndInSettlement	Consul_Florence	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_florence, EndedInSettlement, SettlementName Florence_Province, TimeInRegion >= 10,
-	Consul_Genoa_trigger	CharacterTurnEndInSettlement	Consul_Genoa	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_genoa, EndedInSettlement, SettlementName Genoa_Province, TimeInRegion >= 10,
-	Consul_Milan_trigger	CharacterTurnEndInSettlement	Consul_Milan	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_milan, EndedInSettlement, SettlementName Milan_Province, TimeInRegion >= 10,
-	Consul_Pisa_trigger	CharacterTurnEndInSettlement	Consul_Pisa	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_pisa, EndedInSettlement, SettlementName Pisa_Province, TimeInRegion >= 10,
-	Consul_Ravenna_trigger	CharacterTurnEndInSettlement	Consul_Ravenna	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_ravenna, EndedInSettlement, SettlementName Ravenna_Province, TimeInRegion >= 10,
-	Consul_Turin_trigger	CharacterTurnEndInSettlement	Consul_Turin	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_turin, EndedInSettlement, SettlementName Turin_Province, TimeInRegion >= 10,
-	Consul_Venice_trigger	CharacterTurnEndInSettlement	Consul_Venice	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_venice, EndedInSettlement, SettlementName Venice_Province, TimeInRegion >= 10,
-	Consul_Verona_trigger	CharacterTurnEndInSettlement	Consul_Verona	100	IsGeneral	FactionReligion catholic, not HasAncType politics, SettlementBuildingExists = noble_county, Attribute Authority >= 3, not FactionwideAncillaryExists Comune_Prime_Minister_verona, EndedInSettlement, SettlementName Verona_Province, TimeInRegion >= 10,
-	Count_of_Anjou_trigger	CharacterTurnEndInSettlement	Count_of_Anjou	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Angers_Province, Attribute Loyalty >= 5, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Count_of_Anjou, TimeInRegion > 1,
-	Count_of_Barcelona_trigger	CharacterTurnEndInSettlement	Count_of_Barcelona	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Barcelona_Province, Attribute Loyalty >= 5, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Count_of_Barcelona, TimeInRegion > 1,
-	Count_of_Bordeaux_trigger	CharacterTurnEndInSettlement	Count_of_Bordeaux	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Bordeaux_Province, Attribute Loyalty >= 5, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Count_of_Bordeaux, TimeInRegion > 1,
-	count_of_bourgogne_trigger	CharacterTurnEndInSettlement	count_of_bourgogne	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Lyon_Province, not FactionwideAncillaryExists count_of_bourgogne, TimeInRegion > 1, Attribute Command >= 1,  Attribute Loyalty >= 5, Attribute Authority>= 1,
-	Count_of_Champagne_trigger	CharacterTurnEndInSettlement	Count_of_Champagne	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Troyes_Province, Attribute Loyalty >= 5, Attribute Command>= 2, Attribute Authority>= 1, not FactionwideAncillaryExists Count_of_Champagne, TimeInRegion > 1,
-	Count_of_Clermont_and_Montferrand_trigger	CharacterTurnEndInSettlement	Count_of_Clermont_and_Montferrand	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Clermont_Province, Attribute Loyalty >= 5, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Count_of_Clermont_and_Montferrand, TimeInRegion > 1,
-	Count_of_Holland_trigger	CharacterTurnEndInSettlement	Count_of_Holland	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Utrecht_Province, Attribute Loyalty >= 5, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Count_of_Holland, TimeInRegion > 1,
-	Count_of_Poitiers_trigger	CharacterTurnEndInSettlement	Count_of_Poitiers	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Poitiers_Province, Attribute Loyalty >= 5, Attribute Command>= 1, Attribute Authority>= 1, not FactionwideAncillaryExists Count_of_Poitiers, TimeInRegion > 1,
-	Count_of_Portugal_trigger	CharacterTurnEndInSettlement	Count_of_Portugal	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Coimbra_Province, not FactionwideAncillaryExists Count_of_Portugal, TimeInRegion > 1,  Attribute Loyalty >= 5, Attribute Command>= 1, Attribute Authority>= 1,
