Factions	Character Notes	Sorting Order	Sub Faction	Name	Character Type	Character Gender	Status	Was leader?	age	x	y	Traits	Ancillaries	ARMIES (Max 20 units)
portugal	portugal	3	-	Ana	character_record	female	alive	never_a_leader	40	-	-	-	-	-
scotland	scotland	3	-	Afraig	character_record	female	alive	never_a_leader	40	-	-	-	-	-
seljuks	seljuks	3	-	Afife	character_record	female	alive	never_a_leader	40	-	-	-	-	-
sicily	sicily	3	-	Adelaisa	character_record	female	alive	never_a_leader	40	-	-	-	-	-
spain	spain	3	-	Sancha Fernandez	character_record	female	alive	never_a_leader	40	-	-	-	-	-
syria	syria	3	-	Delaram	character_record	female	alive	never_a_leader	40	-	-	-	-	-
turks	turks	3	-	Adile	character_record	female	alive	never_a_leader	40	-	-	-	-	-
sweden	sweden	3	-	Helena Krona	character_record	female	alive	never_a_leader	40	-	-	-	-	-
venice	venice	3	-	Adriana	character_record	female	alive	never_a_leader	40	-	-	-	-	-
														
aragon	FL	1	-	Sancho	named character	male, leader	-	-	38	124	206	-	Sancho_Ramirez_Bio	aragonese_house_knights, european_spearmen, european_spearmen, european_armoured_infantry, european_armoured_infantry, aragonese_almogavars, european_crossbowmen, european_crossbowmen, european_archers, european_archers, european_mounted_sergeants
aragon	FH, in Jacca	2	-	Pedro	named character	male, heir	-	-	12	125	207	-	-	aragonese_house_knights, european_militia_spearmen, european_crossbowmen
aragon	FL's 2nd son, in Pamplona	3	-	Fernando	named character	male	-	-	9	119	209	-	-	aragonese_house_knights, european_spearmen, european_militia_spearmen, european_militia_spearmen, european_crossbowmen, european_archers, european_mounted_sergeants
aragon	FL's 3rd son, in Sanguesa	4	-	Alfonso	named character	male	-	-	7	121	209	-	-	aragonese_house_knights, aragonese_almogavars, european_archers
aragon	FL's 4th son, in Salazar	5	-	Ramiro_i	named character	male	-	-	5	123	209	-	-	aragonese_house_knights, iberian_militia, european_commoner_spearmen
aragon	in Urgell	6	-	Ermengol_i	named character	male	-	-	24	136	206	-	Ermengol_Bio	aragon_knights, catalan_spearmen, iberian_militia, european_spearmen,  european_commoner_spearmen, european_archers, european_archers, european_armoured_infantry, european_mounted_sergeants
aragon	1st Gen father	7	-	Ramiro	character_record	male	dead 17	past_leader	73	-	-	-	-	-
aragon	1st Gen wife	8	-	Ermesinda de_Bigorre	character_record	female	dead 35	never_a_leader	63	-	-	-	-	-
aragon	1st Gen son2	9	-	Garcia	character_record	male	off_map	never_a_leader	36	-	-	-	-	-
aragon	1st Gen daughter3	10	-	Sancha	character_record	female	alive	never_a_leader	34	-	-	-	-	-
aragon	1st Gen daughter4	11	-	Teresa	character_record	female	alive	never_a_leader	32	-	-	-	-	-
aragon	Wife of Sancho FL	12	-	Felicia de_Roucy	character_record	female	alive	never_a_leader	30	-	-	-	-	-
aragon	Husband of Sancha	13	-	Ermengol de_Urgel	character_record	male	dead 14	never_a_leader	48	-	-	-	-	-
aragon	Son of Ermengol_i	14	-	Ermengol_ii	character_record	male	alive	never_a_leader	2	-	-	-	-	-
aragon	wife of Ermengol_i	15	-	Lucy	character_record	female	dead 0	never_a_leader	26	-	-	-	-	-
aragon	Husband of Teresa	16	-	Guillaume_Bertrand de_Provence	character_record	male	off_map	never_a_leader	43	-	-	-	-	-
armenia	-	1	-	Philaretos Brachomios	named character	male, leader	-	-	60	350	165	-	Philaretos_Brachamios_Bio	byzantine_heavy_cav, norman_cavalry, byzantine_latin_knights, ballista, byzantine_crossbowmen, byzantine_crossbowmen, byzantine_spearmen, byzantine_spearmen, byzantine_spearmen, byzantine_early_cataphracts, byzantine_early_cataphracts, byzantine_heavy_cav
armenia	-	2	-	Roupen	named character	male, heir	-	-	45	353	167	-	Ruben_Bio	cilician_cavalry, armenian_men_at_arms, european_militia_spearmen, armenian_archers
armenia	-	3	-	Thoros	named character	male	-	-	40	349	169	-	-	byzantine_heavy_cav, armenian_swordsmen, byzantine_early_cataphracts
armenia	-	4	-	Constantine	named character	male	-	-	23	347	166	-	-	cilician_cavalry, armenian_javelineers, armenian_spearmen, european_crossbowmen
armenia	-	5	-	Toros	named character	male	-	-	5	347	163	-	-	feudal_retinue, armenian_javelineers, european_militia_spearmen, european_militia_spearmen, european_militia_spearmen
armenia	low loyalty, governor Tarsus	6	-	Abulgharib Artsruni	named character	male	-	-	58	337	170	-	-	armenian_sergeants, armenian_spearmen, armenian_spearmen,  armenian_heavy_maces, armenian_archers, norman_cavalry, european_archers, european_mounted_sergeants
armenia	low loyalty, Sebastos, command	7	-	Oshin Lampron	named character	male	-	-	40	339	168	-	-	cilician_cavalry, armenian_sergeants, armenian_men_at_arms, european_militia_spearmen, european_crossbowmen, armenian_spearmen, armenian_spearmen, armenian_archers, cilician_cavalry, armenian_mounted_javelins
armenia	loyal, great commander, patrikios, strategos, archon (magistros and doux) of Paradounavon 	8	-	Basil Apokapes	named character	male	-	-	56	362	170	-	psfanc_Sanliurfa	byzantine_heavy_cav, armenian_sergeants, byzantine_spearmen, byzantine_spearmen, byzantine_crossbowmen, ballista, byzantine_early_cataphracts
armenia	-	9	-	Isabella	princess	female	-	-	7	347	164	-	-	-
armenia	-	10	-	Euphosina	character_record	female	alive	never_a_leader	60	-	-	-	-	-
armenia	-	11	-	Serpouhi	character_record	female	alive	never_a_leader	40	-	-	-	-	-
armenia	-	12	-	Mariam	character_record	female	alive	never_a_leader	38	-	-	-	-	-
armenia	-	13	-	Arda	character_record	female	alive	never_a_leader	3	-	-	-	-	-
armenia	-	14	-	Lousin	character_record	female	alive	never_a_leader	25	-	-	-	-	-
armenia	-	15	-	Levon	character_record	male	alive	never_a_leader	3	-	-	-	-	-
armenia	-	16	-	Beatrice	character_record	female	alive	never_a_leader	1	-	-	-	-	-
armenia	-	17	-	Rossana	character_record	female	dead 0	never_a_leader	44	-	-	-	-	-
armenia	-	18	-	Hethum Lampron	character_record	male	alive	never_a_leader	1	-	-	-	-	-
bohemia	high authority, good relations with papacy, Rudolf's golden sword,	1	-	Vratislav Premyslovec	named character	male, leader	-	-	45	213	269	-	Vratislav_Bio	bohemian_retinue, bohemian_archers, bohemian_archers, european_crossbowmen, european_commoner_spearmen, european_spearmen, european_spearmen, european_armoured_infantry, european_armoured_infantry, european_mounted_sergeants
bohemia	-	2	-	Boleslav	named character	male	-	-	17	210	270	-	-	bohemian_retinue, european_commoner_spearmen, european_commoner_spearmen, bohemian_archers
bohemia	-	3	-	Borivoj	named character	male	-	-	16	212	269	-	-	european_knights, european_crossbowmen, european_militia_spearmen, european_militia_spearmen
bohemia	-	4	-	Vladislav	named character	male	-	-	11	227	265	-	-	bohemian_foot_retinue, european_crossbowmen, european_militia_spearmen, european_militia_spearmen, european_militia_spearmen
bohemia	-	5	-	Konrad Brnensky	named character	male, heir	-	-	43	226	265	-	-	bohemian_retinue, european_commoner_spearmen, european_commoner_spearmen, bohemian_archers, bohemian_archers, european_spearmen, european_spearmen, european_armoured_infantry, european_crossbowmen, european_crossbowmen, european_mounted_sergeants
bohemia	-	6	-	Ota Olomoucky	named character	male	-	-	35	210	279	-	-	european_knights, bohemian_frontier_guards, european_armoured_infantry, european_buckler_men, bohemian_archers, bohemian_archers, european_spearmen, european_spearmen, european_mounted_sergeants
bohemia	pious, fighter against pagans	7	-	Bretislav	named character	male	-	-	18	224	262	-	-	bohemian_foot_retinue, european_militia_spearmen, european_buckler_men, european_archers
bohemia	-	8	-	Oldrich	named character	male	-	-	18	226	257	-	-	european_knights, european_spearmen, bohemian_frontier_guards, bohemian_frontier_guards, bohemian_archers
bohemia	-	9	-	Litold Znojemsky	named character	male	-	-	13	226	259	-	-	european_knights, european_commoner_spearmen, bohemian_archers, european_mounted_sergeants
bohemia	-	10	-	Judita_i Grojcska	princess	female	-	-	14	212	269	-	-	-
bohemia	-	11	-	Ludmila	princess	female	-	-	20	227	265	-	-	-
bohemia	-	12	-	Bretislav Premyslovec	character_record	male	dead 25	past_leader	70	-	-	-	-	-
bohemia	-	13	-	Judita	character_record	female	dead 18	never_a_leader	70	-	-	-	-	-
bohemia	-	14	-	Vratislav_i	character_record	male	dead 17	past_leader	44	-	-	-	-	-
bohemia	-	15	-	Svatava	character_record	female	alive	never_a_leader	34	-	-	-	-	-
bohemia	-	16	-	Adleta	character_record	female	dead 17	never_a_leader	40	-	-	-	-	-
bohemia	-	17	-	Wirpirka	character_record	female	alive	never_a_leader	43	-	-	-	-	-
bohemia	-	18	-	Eufemie	character_record	female	alive	never_a_leader	30	-	-	-	-	-
bohemia	-	19	-	Zdislava	character_record	female	alive	never_a_leader	14	-	-	-	-	-
bohemia	-	20	-	Marie	character_record	female	alive	never_a_leader	16	-	-	-	-	-
bohemia	-	21	-	Luitgard z_Windburg	character_record	female	alive	never_a_leader	14	-	-	-	-	-
bohemia	-	22	-	Bretislav_i	character_record	male	alive	never_a_leader	0	-	-	-	-	-
bohemia	-	23	-	Cecilie	character_record	female	alive	never_a_leader	11	-	-	-	-	-
denmark	FL	1	-	Knud Estridsen	named character	male, leader	-	-	23	179	313	-	-	norwegian_foot_royal_retinue, european_commoner_spearmen, european_commoner_spearmen, european_commoner_spearmen, european_archers, european_serfs, european_serfs, european_archers, european_serfs
denmark	FH	2	-	Oluf Hunger	named character	male, heir	-	-	22	176	317	-	-	norwegian_foot_royal_retinue, scandinavian_longbowmen, european_commoner_spearmen, european_commoner_spearmen, european_spearmen, european_spearmen, european_crossbowmen, european_archers, european_archers, european_armoured_infantry, scandinavian_younger_sons, scandinavian_mounted_sergeants
denmark	low loyalty	3	-	Godwine	named character	male	-	-	26	104	276	-	-	scandinavian_foot_retinue, european_commoner_spearmen, european_commoner_spearmen, european_commoner_spearmen, european_spearmen, european_crossbowmen, scandinavian_mounted_sergeants, scandinavian_longbowmen
denmark	low loyalty	4	-	Edmund	named character	male	-	-	25	103	276	-	-	scandinavian_foot_retinue, scandinavian_mounted_sergeants, european_commoner_spearmen, european_commoner_spearmen, european_serfs, european_serfs, scandinavian_younger_sons, european_armoured_infantry, european_archers
denmark	low loyalty	5	-	Magnus	named character	male	-	-	23	181	324	-	psfanc_Viborg	scandinavian_foot_retinue, european_militia_spearmen, european_spearmen, european_militia_spearmen
denmark	very loyal	6	-	Erik Ejegod	named character	male	-	-	20	196	317	-	-	norwegian_foot_royal_retinue, european_militia_spearmen, european_militia_spearmen, european_spearmen, european_archers
denmark	very loyal	7	-	Niels	named character	male	-	-	16	186	315	-	-	norwegian_foot_royal_retinue, european_militia_spearmen, european_militia_spearmen
denmark	rebellious, untrustworthy	8	-	Eyvind Bifra	named character	male	-	-	41	193	309	-	-	scandinavian_foot_retinue, scandinavian_longbowmen, scandinavian_mounted_sergeants, european_spearmen, european_commoner_spearmen, european_commoner_spearmen
denmark	Royal Hirdman, royal ties, Powerful and Rich, Very loyal, War veteran, Fights to death	9	-	Svend Thrugotsen	named character	male	-	-	47	178	313	-	-	scandinavian_foot_retinue, european_militia_spearmen, european_crossbowmen
denmark	son of Skjalm Hvide. Noble birth, Royal ties, High piety, Rich and powerful 	10	-	Asser Hvide	named character	male	-	-	6	202	318	-	-	scandinavian_foot_retinue, european_militia_spearmen
denmark	Earl of Brönneslöv. rebellious.	11	-	Thorgisl	named character	male	-	-	35	200	321	-	-	scandinavian_foot_retinue, european_militia_spearmen, scandinavian_younger_sons, european_militia_spearmen
denmark	rebellious.   Earl of Herrestad, Lilla Uppåkra, Uppåkra, Skälshög, Flädie	12	-	Hagen	named character	male	-	-	42	201	326	-	psfanc_Halmstad	scandinavian_foot_retinue, european_militia_spearmen, european_spearmen, norwegian_mounted_patrol, european_archers
denmark	rebellious.  Earl of Hilleshögl, Håstad, Venestad, Skättilljunga, Sövestad, Karlaby	13	-	Skore	named character	male	-	-	37	207	315	-	psfanc_Ystad	scandinavian_foot_retinue, european_archers, european_spearmen, scandinavian_younger_sons, european_militia_spearmen
denmark	Earl of Smaland	14	-	Asbjorn Estridsen	named character	male	-	-	58	210	321	-	-	scandinavian_foot_retinue, scandinavian_longbowmen, european_commoner_spearmen, european_commoner_spearmen, scandinavian_mounted_sergeants
denmark	Earl of Bornholm. Fearsome warrior, Noble birth, Troublemaker, Pirate/Viking, Pagan, Powerful friends, Bonus fighting Wends, Warmonger, Heroic	15	-	Blod Egil	named character	male	-	-	28	212	313	-	-	norwegian_retainers, european_crossbowmen, european_commoner_spearmen, european_commoner_spearmen, scandinavian_mounted_sergeants
denmark	Marshall. High piety, Loyal, Ambitious, Royal ties, Escapist, Rich and powerful, Noble birth, War veteran, Initiator	16	-	Skjalm Hvide	named character	male	-	-	32	150	283	-	-	scandinavian_foot_retinue, scandinavian_mounted_sergeants, scandinavian_mounted_sergeants, european_spearmen, european_spearmen, scandinavian_younger_sons, european_armoured_infantry, european_armoured_infantry, european_armoured_infantry, scandinavian_longbowmen, scandinavian_longbowmen, european_crossbowmen
denmark	rebellious.  Earl of St. Laurentii church	17	-	Ope Thorbjornsen	named character	male	-	-	27	207	320	-	psfanc_Wae	scandinavian_mounted_sergeants, european_militia_spearmen, european_militia_spearmen
slave	-	18	england	Hereward Wake	named character	male	-	-	45	127	298	-	-	english_yeomen_cav, english_churls, english_churls, english_churls, english_fyrdmen, english_fyrdmen, european_serfs, european_serfs, european_archers, european_archers, english_longbowmen, european_spearmen, english_yeomen_cav
slave	-	19	england	Eadulf Rus	named character	male	-	-	38	117	310	-	-	european_knights, english_yeomen_cav, english_churls, english_churls, english_fyrdmen, english_fyrdmen, european_spearmen, european_spearmen, european_archers, european_archers, european_armoured_infantry, brit_hobilars
denmark	Ghent	19	-	Esben	admiral	male	-	-	31	150	283	-	-	longships, longships, longships
denmark	Ireland	19	-	Halfdan	admiral	male	-	-	24	104	277	-	-	longships, longships
denmark	Jutland Invasion Fleet	19	-	Johann	admiral	male	-	-	27	176	314	-	-	longships, longships, longships, longships, longships, longships, longships
denmark	North Jutland	19	-	Peder	admiral	male	-	-	37	176	326	-	-	longships
denmark	Lund	19	-	Verner	admiral	male	-	-	35	199	315	-	-	longships, longships
denmark	son of Svend Thrugotsen. later Bishop of Lund then archbishop	20	-	Asser Thrugotsen	priest	male	-	-	23	178	308	-	-	-
denmark	Bishop of Roskilde.Loyal, Educated abroad, Envied, Good preacher, Clever, Initiator, Naive, High piety	21	-	Svend Norbagge	priest	male	-	-	50	196	317	-	-	-
-	Bishop of Lund. German	22	-	Rikvald	priest	male	-	-	48	202	318	-	-	-
-	Bishop of Ribe	23	-	Odder	priest	male	-	-	38	180	309	-	-	-
denmark	-	24	-	Harald Blaatend	character_record	male	dead 94	past_leader	85	-	-	-	-	-
denmark	-	25	-	Gyrid	character_record	female	dead 86	never_a_leader	85	-	-	-	-	-
denmark	-	26	-	Thyra	character_record	female	dead 80	never_a_leader	70	-	-	-	-	-
denmark	-	27	-	Sweyn Tjugeskaeg	character_record	male	dead 66	past_leader	69	-	-	-	-	-
denmark	-	28	-	Styrbjorn Sterki	character_record	male	dead 95	never_a_leader	70	-	-	-	-	-
denmark	-	29	-	Gytha	character_record	female	dead 30	never_a_leader	55	-	-	-	-	-
denmark	-	30	-	Sigrio Storrada	character_record	female	dead 70	never_a_leader	69	-	-	-	-	-
denmark	-	31	-	Canute	character_record	male	dead 45	past_leader	54	-	-	-	-	-
denmark	-	32	-	Estrid	character_record	female	dead 10	never_a_leader	53	-	-	-	-	-
denmark	-	33	-	Godwin	character_record	male	dead 24	never_a_leader	55	-	-	-	-	-
denmark	-	34	-	Harold Godwinsson	character_record	male	dead 14	never_a_leader	40	-	-	-	-	-
denmark	-	35	-	Tostig	character_record	male	dead 14	never_a_leader	39	-	-	-	-	-
denmark	-	36	-	Emma	character_record	female	dead 28	never_a_leader	54	-	-	-	-	-
denmark	-	37	-	Harold Harefoot	character_record	male	dead 40	never_a_leader	40	-	-	-	-	-
denmark	-	38	-	Sweyn	character_record	male	dead 45	never_a_leader	39	-	-	-	-	-
denmark	-	39	-	Harthacnut	character_record	male	dead 38	never_a_leader	38	-	-	-	-	-
denmark	-	40	-	Gunhilda	character_record	female	dead 42	never_a_leader	37	-	-	-	-	-
denmark	-	41	-	Ulf Jarl	character_record	male	dead 54	never_a_leader	53	-	-	-	-	-
denmark	-	42	-	Svend Estridsen	character_record	male	dead 4	past_leader	38	-	-	-	-	-
denmark	-	43	-	Edith	character_record	female	alive	never_a_leader	40	-	-	-	-	-
denmark	-	44	-	Gytha_i	character_record	female	alive	never_a_leader	24	-	-	-	-	-
denmark	-	45	-	henry	character_record	male	dead 24	never_a_leader	40	-	-	-	-	-
denmark	-	46	-	Gunnhildr Sveinsdottir	character_record	female	dead 20	never_a_leader	39	-	-	-	-	-
denmark	-	47	-	Vladimir Monomakh	character_record	male	off_map	never_a_leader	27	-	-	-	-	-
denmark	-	48	-	Adela	character_record	female	alive	never_a_leader	20	-	-	-	-	-
denmark	-	49	-	Charles	character_record	male	alive	never_a_leader	3	-	-	-	-	-
denmark	-	50	-	Cecilia	character_record	female	alive	never_a_leader	2	-	-	-	-	-
denmark	-	51	-	Ingeborg	character_record	male	alive	never_a_leader	1	-	-	-	-	-
denmark	-	52	-	Ingegard	character_record	female	alive	never_a_leader	32	-	-	-	-	-
denmark	-	53	-	Boedil Thurgotsdatter	character_record	female	alive	never_a_leader	17	-	-	-	-	-
denmark	-	54	-	Harald Kesja	character_record	male	alive	never_a_leader	1	-	-	-	-	-
denmark	-	55	-	Margaret Fredkulla	character_record	female	alive	never_a_leader	15	-	-	-	-	-
england	-	1	-	Pons d_Eu	named character	male	-	-	29	137	268	-	psfanc_Eu	european_knights, european_spearmen, european_militia_spearmen, european_crossbowmen
england	very rich, builder, Lord of Richmond	2	-	Alain Rufus	named character	male	-	-	60	119	305	-	Alan_Rufus_Bio, psfanc_Richmond	european_knights, european_spearmen, european_spearmen, european_commoner_spearmen, european_archers, european_archers, european_armoured_infantry, anglo_scottish_reivers, anglo_scottish_reivers, european_mounted_sergeants
england	injured	3	-	Brien Launceston	named character	male	-	-	48	115	250	-	Brian_of_Brittany_Bio	european_mounted_sergeants
slave	Count of Tréguier, religious benefactor	4	england	Stephen of_Treguier	named character	male	-	-	32	109	258	-	psfanc_Treguier	brit_knights, european_spearmen, european_commoner_spearmen, european_commoner_spearmen, norman_cavalry, european_archers
england	Somerset	5	-	Raoul deConteville	named character	male	-	-	56	113	276	-	-	european_knights, european_spearmen, english_fyrdmen, english_churls, english_churls, irish_heavy_inf, european_archers, norman_cavalry
england	Count of Mortain, Earl of Cornwall, royal ties, loyal, sluggish, courageous, good commander, good husband	6	-	Robert deConteville	named character	male	-	-	42	108	274	-	Robert_de_Conteville_Bio	european_knights, english_fyrdmen, english_fyrdmen, european_spearmen, english_churls, english_churls, european_archers, european_crossbowmen, european_armoured_infantry, english_yeomen_cav
england	religious (pilgramage)	7	-	Gauthier de_Saint-Valery	named character	male	-	-	45	134	259	-	psfanc_Conches_en_Ouches	european_knights, european_spearmen, european_commoner_spearmen, european_commoner_spearmen, european_crossbowmen
england	-	8	-	Harold_srg of_Ewyas	named character	male	-	-	27	116	283	-	-	european_knights, english_fyrdmen, english_churls, english_churls, european_archers
england	FL	9	-	William_srh	named character	male, leader	-	-	53	135	263	-	William_Conqueror_Bio	european_knights, european_spearmen, european_spearmen, european_militia_spearmen, european_militia_spearmen, european_archers, european_archers, european_armoured_infantry, norman_cavalry, norman_cavalry
england	Earl of Kent & bishop of Bayeux, unloyal, crusader, ambitious, loose morals, learned, patron of arts, wealthy, architect, Bayeux tapestry	10	-	Odo	named character	male	-	-	45	127	281	-	Odo_Bio	european_knights, european_spearmen, european_militia_spearmen, european_militia_spearmen, european_archers
england	Earl of Chester, the fat, trusted, very loyal, bonus against Welsh	11	-	Hugh dAvranches	named character	male	-	-	33	113	295	-	Hugh_dAvranches_Bio	european_knights, european_spearmen, english_churls, english_fyrdmen, english_churls, english_longbowmen, european_crossbowmen, european_armoured_infantry, european_mounted_sergeants
england	Count of Évreux	12	-	William dEvreux	named character	male	-	-	30	131	260	-	psfanc_Lisieux	european_knights, european_militia_spearmen, european_mounted_sergeants
