Building	Capability	Capability Requirements
Al_Khilafah	trade_base_income_bonus bonus 3	factions { egypt, moors, seljuks, syria, turks,  slave, }
al_mutazili	happiness_bonus bonus 1	-
al_mutazili	law_bonus bonus 2	-
al_mutazili	population_health_bonus bonus 1	-
al_Tajniid	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "bedouin_militia_cav"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "ayyubid_heavy_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "ayyubid_light_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "egyptian_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "egyptian_macemen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "egyptian_medium_horse_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "kurdish_longbowmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0 and hidden_resource kurd
al_Tajniid	recruit_pool "kurdish_spearmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0 and hidden_resource kurd
al_Tajniid	recruit_pool "mamluks"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "mamluks"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "nubian_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "nubian_light_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "nubian_spearmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_Tajniid	law_bonus bonus 4	factions { egypt, moors, seljuks, syria, turks,  slave, }
al_Tajniid	population_health_bonus bonus -3	factions { egypt, moors, seljuks, syria, turks,  slave, }
al_Tajniid	recruit_pool "nomad_turkish_cav"  1   0.3   2  0	factions { egypt, syria, seljuks, turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "almohad_archers"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "almohad_slave_infantry"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "almohad_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "almoravid_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "andalucian_berber_warriors"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "berber_skirmishers"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "moorish_pikemen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "sanhaja_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "moorish_heavy_crossbowmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "caspian_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "caspian_infantry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "khwarezmian_cavalry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "persian_noble_cav"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "persian_peasants"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "persian_police"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "persian_vigilantes"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "timurid_levies"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "turcoman_horse_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "turkic_horse_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "turkic_retainers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "bedouin_militia_cav"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "caspian_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "caspian_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "kurdish_longbowmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "kurdish_spearmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "mamluks"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "syrian_foot_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "syrian_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "syrian_militia_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "syrian_militia_spearmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "syrian_peasants"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "syrian_skirmishers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "ayyubid_heavy_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "ayyubid_light_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "turkish_spearmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "ghazi_raiders"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "ghulam_heavy_horse_archers"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "ghulam_light_horse_archers"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "kurdish_longbowmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "kurdish_spearmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_Tajniid	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "ayyubid_heavy_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "ayyubid_light_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "bedouin_militia_cav"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "egyptian_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "egyptian_macemen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "nubian_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "nubian_light_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "nubian_spearmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
al_thknat	law_bonus bonus 4	factions { egypt, moors, seljuks, syria, turks,  slave, }
al_thknat	population_health_bonus bonus -2	factions { egypt, moors, seljuks, syria, turks,  slave, }
al_thknat	recruit_pool "nomad_turkish_cav"  1   0.3   2  0	factions { egypt, syria, seljuks, turks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "almohad_archers"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "almohad_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "almoravid_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "andalucian_berber_warriors"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "berber_skirmishers"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "sanhaja_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "moorish_heavy_crossbowmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "caspian_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "caspian_infantry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "persian_peasants"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "persian_police"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "persian_vigilantes"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "turcoman_horse_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "turkic_horse_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "ayyubid_heavy_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "ayyubid_light_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "bedouin_militia_cav"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "caspian_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "caspian_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "syrian_foot_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "syrian_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "syrian_militia_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "syrian_militia_spearmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "syrian_peasants"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "syrian_skirmishers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "turkish_spearmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "ghazi_raiders"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "ghulam_light_horse_archers"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
al_thknat	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
Alamanon	law_bonus bonus -1	-
Alamanon	population_growth_bonus bonus 1	-
Alamanon	population_health_bonus bonus -1	-
Alamanon	trade_base_income_bonus bonus 1	-
Alamanon	recruit_pool "european_mounted_sergeants"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  bohemia, hre, hungary, poland,  egypt, moors, seljuks, syria, turks,  kiev, lithuania, novgorod,  armenia, byzantium, georgia,  slave, } and event_counter is_player_autonomy 0
Alamanon	recruit_pool "european_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  hre, byzantium, slave, } and event_counter is_player_autonomy 0
Alamanon	recruit_pool "european_spearmen"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden,   aragon, milan, pisa, portugal, sicily, spain, venice, papal_states,  hre, byzantium, slave, } and event_counter is_player_autonomy 0
Alamanon	recruit_pool "hre_cav_servants"  1   0.3   2  0	factions { hre, byzantium, slave, } and event_counter is_player_autonomy 0
Alamanon	recruit_pool "hre_foot_servants"  1   0.3   2  0	factions { hre, byzantium, slave, } and event_counter is_player_autonomy 0
Alamanon	recruit_pool "hre_knights"  1   0.3   2  0	factions { hre, byzantium, slave, } and event_counter is_player_autonomy 0
Alamanon	recruit_pool "hre_militia"  1   0.3   2  0	factions { hre, byzantium, slave, } and event_counter is_player_autonomy 0
Alien_Priories	pope_disapproval 1	-
Alien_Priories	construction_cost_bonus_stone bonus 10	factions { england, slave, }
Alien_Priories	construction_cost_bonus_wooden bonus 10	factions { england, slave, }
Alien_Priories	free_upkeep bonus 1	factions { england, slave, }
Alien_Priories	happiness_bonus bonus -4	factions { england, slave, }
Alien_Priories	happiness_bonus bonus 3	factions { england, slave, }
Alien_Priories	law_bonus bonus 10	factions { england, slave, }
Alien_Priories	population_health_bonus bonus -1	factions { england, slave, }
Alien_Priories	retrain_cost_bonus bonus 1	factions { england, slave, }
Alien_Priories	trade_base_income_bonus bonus 15	factions { england, slave, }
Alkas	happiness_bonus bonus 4	-
Alkas	population_health_bonus bonus 3	-
Alkas	religion_level bonus 3	-
Alkas	stage_games 2	factions { lithuania, slave, }
Alkas	recruit_pool "lithuanian_veterans"  1   0.3   2  0	factions { lithuania, slave, } and event_counter is_player_autonomy 0
Alkas	recruit_pool "lithuanian_werewolves"  1   0.3   2  0	factions { lithuania, slave, } and event_counter is_player_autonomy 0
Alkas_1	happiness_bonus bonus 1	-
Alkas_1	recruit_pool "lithuanian_werewolves"  1   0.3   2  0	factions { lithuania, slave, } and event_counter is_player_autonomy 0
Alkas_2	happiness_bonus bonus 2	-
Alkas_2	population_health_bonus bonus 1	-
Alkas_2	religion_level bonus 1	-
Alkas_2	recruit_pool "lithuanian_werewolves"  1   0.3   2  0	factions { lithuania, slave, } and event_counter is_player_autonomy 0
Alkos	happiness_bonus bonus 4	-
Alkos	population_growth_bonus bonus 2	-
Alkos	population_health_bonus bonus 3	-
Alkos	religion_level bonus 4	-
Alkos	stage_games 2	factions { lithuania, slave, }
Alkos	recruit_pool "lithuanian_veterans"  1   0.3   2  0	factions { lithuania, slave, } and event_counter is_player_autonomy 0
Alkos	recruit_pool "lithuanian_werewolves"  1   0.3   2  0	factions { lithuania, slave, } and event_counter is_player_autonomy 0
ammah	law_bonus bonus 2	-
ammah	law_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
ammah	religion_level bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
Anbir	population_growth_bonus bonus 7	factions { seljuks, slave, }
Anbir	population_health_bonus bonus 7	factions { seljuks, slave, }
Andarun_e_kassa	law_bonus bonus 1	-
Anhir	population_growth_bonus bonus 2	factions { seljuks, slave, }
Anhir	population_health_bonus bonus 2	factions { seljuks, slave, }
Apokrisiarieion	trade_base_income_bonus bonus 1	-
Apostolic	happiness_bonus bonus 1	factions { papal_states, }
Apostolic	law_bonus bonus 4	factions { papal_states, }
Apostolic	population_growth_bonus bonus 1	factions { papal_states, }
Apostolic	trade_base_income_bonus bonus 2	factions { papal_states, }
Apostolic	recruit_pool "papal_guard"  1   0.3   2  0	factions { papal_states, } and event_counter is_player_autonomy 0
appanaticum	law_bonus bonus 3	-
appanaticum	trade_base_income_bonus bonus 2	-
appenage	law_bonus bonus 1	factions { armenia, bohemia, egypt, france, georgia, hungary, lithuania, moors, norway, papal_states, papal_states, poland, seljuks, sicily, sicily, sweden, syria, turks, slave, }
appenage	population_growth_bonus bonus 1	factions { byzantium, slave, }
appenage	happiness_bonus bonus 1	factions { cumans, slave, }
appenage	population_growth_bonus bonus 1	factions { cumans, slave, }
appenage	population_health_bonus bonus 1	factions { cumans, slave, }
appenage	trade_base_income_bonus bonus 1	factions { cumans, slave, }
appenage	population_growth_bonus bonus 1	factions { england, slave, }
appenage	population_health_bonus bonus 1	factions { england, slave, }
appenage	trade_base_income_bonus bonus 2	factions { england, slave, }
appenage	recruit_pool "english_yeomen_cav"  1   0.3   2  0	factions { england, slave, } and event_counter is_player_autonomy 0
appenage	recruit_pool "irish_raiders"  1   0.3   2  0	factions { england, scotland, slave, } and event_counter is_player_autonomy 0
appenage	law_bonus bonus 1	factions { hre, slave, }
appenage	population_growth_bonus bonus 1	factions { hre, slave, }
appenage	population_health_bonus bonus -1	factions { hre, slave, }
appenage	law_bonus bonus 1	factions { kiev, novgorod, slave, }
appenage	happiness_bonus bonus 1	factions { milan, pisa, venice, slave, }
appenage	law_bonus bonus -2	factions { milan, pisa, venice, slave, }
appenage	trade_base_income_bonus bonus 1	factions { milan, pisa, venice, slave, }
appenage	happiness_bonus bonus 1	factions { scotland, slave, }
appenage	law_bonus bonus -2	factions { scotland, slave, }
appenage	population_growth_bonus bonus 1	factions { scotland, slave, }
aqueduct	population_health_bonus bonus 5	-
archbishopric	agent_limit priest 2	-
archbishopric	amplify_religion_level 1	-
archbishopric	law_bonus bonus 6	-
archbishopric	pope_approval 1	-
archbishopric	pope_disapproval 1	-
archbishopric	population_growth_bonus bonus 1	-
archbishopric	religion_level bonus 6	-
archbishopric	trade_base_income_bonus bonus -3	-
archbishopric	recruit_pool "byzantine_latin_crossbowmen"  1   0.3   2  0	factions { byzantium, slave, } and event_counter is_player_autonomy 0
archbishopric	recruit_pool "hospitaller_foot_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden, aragon, milan, pisa, portugal, sicily, spain, venice, papal_states, bohemia, hre, hungary, poland, armenia, slave, } and event_counter is_player_autonomy 0
archbishopric	recruit_pool "hospitaller_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden, aragon, milan, pisa, portugal, sicily, spain, venice, papal_states, bohemia, hre, hungary, poland, armenia, slave, } and event_counter is_player_autonomy 0
archbishopric	recruit_pool "hospitaller_knights"  1   0.3   2  0	factions { denmark, england, france, norway, scotland, sweden, aragon, milan, pisa, portugal, sicily, spain, venice, papal_states, bohemia, hre, hungary, poland, armenia, slave, } and event_counter is_player_autonomy 0
archbishopric	agent priest 2	factions { denmark, england, france, norway, scotland, sweden, aragon, milan, pisa, portugal, sicily, spain, venice, papal_states, bohemia, hre, hungary, poland, armenia, slave, } and event_counter is_player_autonomy 0
archbishopric	recruit_pool "european_arbalesters"  1   0.3   2  0	factions { egypt, moors, seljuks, syria, turks,  kiev, lithuania, novgorod,  armenia, byzantium, georgia,  slave, } and event_counter is_player_autonomy 0
archbishopric	recruit_pool "european_arbalesters"  1   0.3   2  0	factions { egypt, moors, seljuks, syria, turks,  kiev, lithuania, novgorod,  armenia, byzantium, georgia,  slave, } and event_counter is_player_autonomy 0
archbishopric	recruit_pool "european_archers"  1   0.3   2  0	factions { egypt, moors, seljuks, syria, turks,  kiev, lithuania, novgorod,  armenia, byzantium, georgia,  slave, } and event_counter is_player_autonomy 0
archbishopric	recruit_pool "european_armoured_infantry"  1   0.3   2  0	factions { egypt, moors, seljuks, syria, turks,  kiev, lithuania, novgorod,  armenia, byzantium, georgia,  slave, } and event_counter is_player_autonomy 0
