Reference Name	English Names (more or less)	In-game Name (Native Name)	In-game Description	In-game Summary Description	Broad Role	Explanation of the Unit	Building to be Assigned To	Hidden Resource Req?	Availability	Where is the unit From?	Era of Availability	General Unit?	Social Class	Function	Formation	Equipment	First Weapon	Secondary Weapon	Placeholder Unit	Placeholder Weapons	Extra Info	Reference Imagery	Category	Class	Unit's voice	Accent	Banner of Faction	Crusade Banner	Unit Size	Soldier Model	Number of Soliders	Extra Animals Engines	Mass of Infantry	Officers Models			Type of Ship	Type of Engine	Type of Animals	Type of Mount	Bonus Against	Abilities	Misc Attributes	Normal Spacing	Loose Spacing	Default No. of Ranks	Formation (1-2)	hp	Mount hp	Primary Weapon Attack	Charge Bonus	Missile Type	Range	Ammo	Type	Tech	Damage	Sound	Fire Sound	Min Delay	Preferred Weapon	Attack vs Mounted	Defence vs Mounted	AP	Attack Attributes	Secondary Weapon Attack	Charge	Missile Type	Range	Ammo	Type	Tech	Damage	Sound	Fire Sound	Min Delay	Preferred Weapon	Attack vs Mounted	Defence vs Mounted	AP	Attack Attributes	Armour	Def Skill	Shield	Sound When Hit	Animal Mount Armour	Def Skill	Sound When Hit	Fatigue in Heat	Scrub Mod	Sand Mod	Forest Mod	Snow Mod	Grade of Unit (1-5)	Morale	Discipline	Training	Distance to Charge	Delay Between Anims	Suggested Price	Suggested Upkeep	Recruitment Time	Unit Price	Upkeep Cost	Weapon Upgrade Cost	Armour Upgrade Cost	Custom Battle Cost	Custom Battle Max	Custom Battle Increase	Minimum Soldiers	Smith Levels Needed	Models	Ownership Factions and/or Cultures	Ownership for MP Early Era	Ownership for MP High Era	Ownership for MP Late Era	Priority in Recruitment	Unit Speed Modificator
byzantine_knights	Land-owners	Proniarioi	Proniarioi were the equal to western knights but as they became private armies they lost morale and fighting ability!	PLACEHOLDER HEAVY CAVALRY	heavy cavalry	medium lancers	-	-	Byzantines	Homeland	high, late	-	freemen	superior		BASE:lamellar, UP1: upgraded lamellar, UP2: , UP3: , SHIELD: triangular, HELMET: 	lance	cinquedea 	Proniarii	-	-	-	cavalry	heavy	heavy	English	main_cavalry	-	50	Feudal_Knights	32	0	1	-	-	-	-	-	-	barded horse	elephant -4, camel -4	wedge formation?	sea_faring, hide_forest, hardy, can_withdraw, can_formed_charge, knight, general_unit	2, 4.4	3, 6	2	square, wedge	1	0	10	6	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	11	4	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	7	5	4	metal	0	0	flesh	5	0	-2	-4	0	-	9	impetuous	trained	45	0	3500	1250	1	730	250	120	95	730	4	180	-	3, 4	Feudal_Knights	byzantium	byzantium	byzantium	byzantium	-	1
byzantine_latin_crossbowmen	latin crossbowmen	Gasmouloi 	PLACEHOLDER ARCHER UNIT	PLACEHOLDER ARCHER UNIT	archers	cheap large unit, low morale, good equipment	-	-	Byzantines	-	mid/late	-	freemen	militia		BASE:gambeson, UP1: mail, UP2: heavy mail, UP3: partial plate , SHIELD: yes, HELMET: yes	crossbow	estoc	-	-	-	-	infantry	missile	light	English	main_missile	-	-	Peasant_Archers	48	0	0.8	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	4	square	1	0	5	1	arrow	120	30	missile	missile_mechanical	piercing	none	,	25	1	-	-	-	no	2	1	no	0	0	melee	melee_simple	piercing	knife	,	25	1.8	-	-	-	no	0	1	0	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	-	-	1	220	100	65	50	220	4	50	-	0, 1, 2	Peasant_Archers	byzantium	byzantium	byzantium	byzantium	-	1
byzantine_latin_knights	Latin Knights	Kavalarioi	PLACEHOLDER HEAVY CAVALRY	PLACEHOLDER HEAVY CAVALRY	heavy cavalry	They wore heavy armour but were not 'Katafracted'. They were able to chase down Bulgar light cavalry with great success	-	-	Byzantines	-	all	yes	freemen	elite		BASE:padded, UP1: mail, UP2: , UP3: , SHIELD: , HELMET: 	lance	arming sword	Cavalarii	-	-	-	cavalry	heavy	heavy	English	main_cavalry	-	-	Feudal_Knights	32	0	1	-	-	-	-	-	-	barded horse	elephant -4, camel -4	-	sea_faring, hide_forest, hardy, can_withdraw, can_formed_charge, knight, general_unit	2, 4.4	3, 6	2	square, wedge	1	0	10	6	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	11	4	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	7	5	4	metal	0	0	flesh	5	0	-2	-4	0	-	9	impetuous	trained	45	0	-	-	1	730	250	120	95	730	4	180	-	3, 4	Feudal_Knights	byzantium	byzantium	byzantium	byzantium	-	1
byzantine_light_guards	Fort guards	Tzakones	PLACEHOLDER LIGHT INFANTRY	PLACEHOLDER LIGHT INFANTRY	light infantry	professional hardcore unit to enforce the law	-	-	Byzantines	-	early, high	-	freemen	militia		BASE:lamellar, UP1: upgraded lamellar, UP2: , UP3: , SHIELD: round, HELMET: yes	Sword	-	Castrophilicae	-	-	http://apps.carleton.edu/reason_package/reason_4.-/www/images/311855.jpg	infantry	spearmen	light	English	main_spear	-	-	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	well armored	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	1000	700	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	byzantium	byzantium	byzantium	byzantium	-	1
byzantine_pikemen	Pike militia	Lonchephoroi	PLACEHOLDER LIGHT INFANTRY	PLACEHOLDER LIGHT INFANTRY	light infantry	Light pikemen	-	-	Byzantines	-	high, late	-	freemen	militia		BASE:none, UP1: leather, UP2: none, UP3: none, SHIELD: no, HELMET: no	pike	military dagger	-	-	-	-	infantry	spearmen	light	English	main_spear	-	-	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	-	-	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	byzantium	byzantium	byzantium	byzantium	-	1
byzantine_spearmen	Shieldbearers	Stratiotai	PLACEHOLDER LIGHT INFANTRY	PLACEHOLDER LIGHT INFANTRY	light infantry	solid spearmen	-	-	Byzantines	-	all	-	freemen	trained		BASE:lamellar, UP1: , UP2: , UP3: , SHIELD: triangular, HELMET: yes	infantry spear	arming sword	Scoutati (spear)	-	-	http://www.allempires.net/uploads/2--6-6-2_15-237_Dyo_alisidotoi.jpg	infantry	spearmen	light	English	main_spear	-	-	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	-	-	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	byzantium	byzantium	byzantium	byzantium	-	1
byzantine_varangian_guard	Varangians	Varangoi	The Varangian Guard appear to have taken their name from the Slavic Varjagi, which in turn comes from the Old Norse Vár 'sworn' and Gengi 'companion'. This was the name for the retinues of the early Rus Vikings as they colonised the rivers of Russia and made their way along the trade routes between the Baltic and the Black Sea. Constantinople as early as 839 were fielding Rus mercenaries that would become in time the highly trusted heavy infantry guard of the Emperor himself, preferring them over Greeks who could be bought or embroiled in dynastic politics. The Scandinavian and Russian recruits still worked in the basic Nordic fashion of warfare, but paid so handsomely as they were they kitted themselves out with the best Byzantine armour available. After the fall of the English to the Normans in 1066 many Anglo-Norse nobles fled to eastern Europe, many marrying into the Russian, Polish and Hungarian royal families. Naturally many joined the ranks of the Guard, which by virtue of this; now became known as the 'English Guard.' The Anglo-Norse style of fighting was the same as before however, and all the troops spoke mutually understandable languages. The Guard, although a Byzantine institution spread copycat bands in the employment of various eastern princes. These units were typically styled in latin as Comitatenses or Comitatus and were well-known all around the Black Sea. The 12th century Byzantine historian John Kinnamos calls them 'axe-bearers of the British nation, which has been in service to the Romans' Emperors from a long time back' remembering the Germanic Foederati troops of the Romans, but also indicating the Saxon composition of the guard well up to the point of the Fourth Crusade. Although the regiment of the Varangion was a mix of diferent troops, this unit represents the elite Imperial Guard and those select Nordic warbands that assembled around the rulers who emulated Byzantium.	PLACEHOLDER HEAVY INFANTRY	heavy infantry	Anglo-Nordic polearm infantry	-	-	Byzantines, mercenary	Constantinople, Gyulafehérvár, Veliko Tarnovo, Kiev, Chersón, Smolensk	alll	yes	freemen	elite		BASE:lamellar, UP1: upgraded lamellar, UP2: none, UP3: none, SHIELD: round, HELMET: yes	military axe twohander	-	Varangian guard	-	-	http://www.livius.org/a/1/iran/heraclius.jpg	infantry	heavy	heavy	English	main_infantry	-	-	Dismounted_Feudal_Knights	48	0	1.2	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, hardy, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	3	square	1	0	13	3	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	7	8	6	metal	0	0	flesh	5	1	-2	3	2	-	9	normal	trained	30	0	1500	875	1	570	225	90	70	570	4	140	-	3, 4	Dismounted_Feudal_Knights	byzantium	byzantium	byzantium	byzantium	-	1
byzantine_villeins	Greek Villeins	Paroikoi	Paroikos, etymologically related to 'parish' and 'parochial' it was originally used to designate foreign residents. In Asia Minor they were named Katoikoi. In the Byzantine Empire, paroikoi were non-proprietary peasants, hereditary holders of their land, irremovable as long as they paid their rent. They were similar to European villeins.	PLACEHOLDER LIGHT INFANTRY	light infantry	peasant skirmishers	-	-	Byzantines	Greece, western anatolia	all	-	freemen	levy		BASE:none, UP1: leather, UP2: none, UP3: none, SHIELD: Greek roundshield, HELMET: yes	Javelin	infantry spear	-	-	-	-	infantry	spearmen	light	English	main_spear	-	-	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	100	800	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	byzantium	byzantium	byzantium	byzantium	-	1
calatrava_sergeants	Sergeants of the Order of Calatrava	Milicia de Calatrava 	PLACEHOLDER HEAVY INFANTRY	PLACEHOLDER HEAVY INFANTRY	heavy infantry	crossbow sergeants	-	-	Leon-Castille, Aragon	(requires post crusade)	all eras	yes	freemen	elite		BASE:light mail, UP1: heavy mail, UP2: coat of plates, UP3: none, SHIELD: , HELMET: 	Light crossbow	Lanzalonga	our own	-	-	http://www.irishmasonicjewels.ie/Templar%2-Seal.jpg	infantry	heavy	heavy	English	main_infantry	-	-	Dismounted_Feudal_Knights	48	0	1.2	-	-	-	-	-	-	-	-	druid	sea_faring, hide_forest, hardy, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	3	square	1	0	13	3	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	7	8	6	metal	0	0	flesh	5	1	-2	3	2	-	9	normal	trained	30	0	1000	200	1	570	225	90	70	570	4	140	-	3, 4	Dismounted_Feudal_Knights	spain, aragon	spain, aragon	spain, aragon	spain, aragon	-	1
camel_archers	Banu Hilal tribesmen	Banu Hilal	Banu Hilal were a confederation of Arabian Bedouin tribes that migrated from Upper Egypt into North Africa in the 11th century, having been sent by the Fatimids to punish the Zirids for abandoning Shiism. Other authors suggest that the tribes left the grasslands on the upper Nile because of environmental degradation accompanying the Medieval Warm Period. The Banu Hilal quickly defeated the Zirids and deeply weakened the neighboring Hammadids. Their influx was a major factor in the linguistic and cultural Arabization of the Maghreb, and in the spread of nomadism in areas where agriculture had previously been dominant. Ibn Khaldun noted that the lands ravaged by Banu Hilal invaders had become completely arid desert.	PLACEHOLDER HORSE ARCHERS	horse archers	huge unit, cheap and effective	basic wall	hidres_banu_hilal 	Regional Rebels	Egpyt, central north Africa	early, mid	-	freemen	elite		BASE:none, UP1: leather, UP2: none, UP3: none, SHIELD: Greek roundshield, HELMET: yes	Selfbow	Lanzalonga	-	-	-	-	cavalry	missile	light	English	main_missile	-	-	Cuman_Horse_Archers	32	0	1	-	-	-	-	-	-	fast pony	elephant -4, camel -4	-	sea_faring, hide_forest, can_withdraw, cantabrian_circle, mercenary_unit, general_unit	2, 4.4	3, 6	3	square	1	0	6	1	cav_composite_arrow	125	25	missile	missile_mechanical	piercing	none	,	25	1	-	-	-	no	6	2	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	0	3	0	flesh	0	0	flesh	0	0	0	-6	1	-	3	normal	untrained	45	0	1200	900	1	380	180	90	70	380	4	90	-	0	Cuman_Horse_Archers	slave	slave	slave	slave	-	1
canarian_warriors	Guanche warriors	Cichiciquitzos	PLACEHOLDER LIGHT INFANTRY	PLACEHOLDER LIGHT INFANTRY	light infantry	unarmoured pikemen	-	-	Regional Rebels	Awadaghust_Province	all	yes	freemen	n/a		BASE:none, UP1: none, UP2: , UP3: , SHIELD: , HELMET: 	Lanzalonga	wooden sword	-	-	-	-	infantry	spearmen	light	English	main_spear	-	large	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	4	3	normal	trained	30	0	-	-	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	slave	slave	slave	slave	-	1
caspian_archers	Daylami Archers	Rumat al-Daylam	The Deylamites or Dailamites were an Iranian people inhabiting the mountainous regions of northern Iran on the southern shore of the Caspian Sea. They were employed as soldiers from the time of the Sassanid Empire, and long resisted the Arab conquest of Iran and subsequent Islamization. In the 930s, the Dailami Buyid dynasty emerged and managed to gain control over much of modern-day Iran, which it held until the coming of the Seljuk Turks in the mid-11th century. The Dailamites lived in the highlands of Dailam, part of the Alborz mountain range, between Gilan and Tabaristan. ollowing the Persian defeat in the Battle of al-Qādisiyyah, the 4,000-strong Dailamite contingent of the Persian guard, along with other Persian units, defected to the Arab side, converting to Islam. Nevertheless, the Dailamites managed to resist the Arab invasion of their own mountainous homeland for several centuries under their own local rulers.Warfare in the region was endemic, with raids and counter-raids by both sides. Under the Arabs, the old Persian fortress-city of Qazvin continued in its Sassanid-era role as a bulwark against Dailamite raids. According to the historian al-Tabari, the Dailamites, along with the Turks, were considered the worst enemies of the Muslims. During the reign of Harun al-Rashid, several Shia fled to the Dailamites, most of whom remained pagan, with a few Zoroastrians and Christians, to escape persecution. Among these refugees were the Alids, who began the gradual conversion of the Dailamites to Shia Islam. Nevertheless, a strong Persian identity remained ingrained in the peoples of the region, along with an anti-Arab mentality. The local rulers, like the Ziyarid dynasty, made a point of celebrating old Iranian and Zoroastrian festivals.	PLACEHOLDER ARCHER UNIT	archers	Aggressive hillmen (impetuous, morale)	-	-	Syria, Seljuks, Armenia, Georgia, (+ Mongols transition)	Caspian	-	-	freemen	army		BASE:unarmored, UP1: , UP2: , UP3: , SHIELD: , HELMET: 	composite bow	sparth axe	-	-	-	-	infantry	missile	light	English	main_missile	-	-	Peasant_Archers	48	0	0.8	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	4	square	1	0	5	1	arrow	120	30	missile	missile_mechanical	piercing	none	,	25	1	-	-	-	no	2	1	no	0	0	melee	melee_simple	piercing	knife	,	25	1.8	-	-	-	no	0	1	0	flesh	0	0	flesh	2	1	-2	3	2	5	3	normal	trained	30	0	1000	700	1	220	100	65	50	220	4	50	-	0, 1, 2	Peasant_Archers	syria, seljuks, armenia, georgia, cumans, egypt	syria, seljuks, armenia, georgia, cumans, egypt	syria, seljuks, armenia, georgia, cumans, egypt	syria, seljuks, armenia, georgia, cumans, egypt	-	1
caspian_infantry	Daylami Infantry 	Mushat al-Daylam	PLACEHOLDER LIGHT INFANTRY	PLACEHOLDER LIGHT INFANTRY	light infantry	Aggressive spearmen (impetuous, morale)	-	-	Syria, Seljuks, Armenia, Georgia, (+ Mongols transition)	-	-	-	freemen	army		BASE:unarmored, UP1: padded leather, UP2: mail, UP3: none, SHIELD: yes HELMET: yes	Lanzalonga	Khanda	-	-	-	-	infantry	spearmen	light	English	main_spear	-	-	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	5	3	normal	trained	30	0	-	-	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	syria, seljuks, armenia, georgia, cumans	syria, seljuks, armenia, georgia, cumans	syria, seljuks, armenia, georgia, cumans	syria, seljuks, armenia, georgia, cumans	-	1
catalan_almogavars	Roger de Flor's Catalan Company	Companyia Catalana d'Orient	A regiment formed by the Sicilian-German noble Roger von Blume, better known as Roger de Flor, in 1302, with Aragonese and Catalan mercenaries who were idle in the Kingdom of Sicily after the peace of Catalbellota. Roger was a fugitive of the Templars, and in order to avoid the Pope and his Order, he travelled to Byzantium (whose emperor, Andrónikos Palaiologos, needed military help) with his mercenaries (commanded by his friend Berenguer d'Entenza) to fight the invading Turks. The Company set sail in Messina with 36 ships and 8000 soldiers. They were received by the Basileus himself in Konstantinoúpolis in 1303, and there Roger set his conditions to the emperor: should he help him in the defence of the Empire, he would marry the niece of Andrónikos and he would gain the title of Great Duke. The Basileus accepted. The presence of the Almughavars, who represented the interests of the Crown of Aragón, upset the Genoese colony in Konstantinoúpolis, who faced the Aragonese in the city and caused a confrontation between both colonies. The Almughavars started a massacre in which 3000 Italians were killed by the mercenaries. The emperor ordered the Almughavars to depart for Anatolia as soon as possible. There they crushed the Turks in Kýzikos (1303), Germe (1304) and liberated the city of Philadelpheia, which was under Turkish siege. They settled their headquarters in Magnisía, and from there they continued their campaigns against the Turks, recovering for Byzantium an important part of Anatolia. The Byzantines however, began to see that they had created a monster- the Company were basically the new masters of Anatolia. In July the Almughavars defeated another important Turkish force at the Cilician Gates, in the frontier with Armenia, where 18,000 Turks were defeated by Roger de Flor's own forces. It was then when Magnisía, garrisoned by Alans, the enemies of the Aragonese and the other great mercenary force of the Byzantine Empire, rioted against the Almughavars. In the next months the hate of Byzantines grew against the Catalan Company, which had come to be seen as an army of insubordinate barbarians, even worse than Turks for the Empire. In 1305 the Emperor enticed DeFlor and his men to a great banquet as a pretext to assassination. Using Alan calvary, Roger de Flor was killed, and only 1400 Catalans survived. This small company, now commanded by Berenguer d'Entenza was furious at the Byzantine betrayal, and vowed vengeance. They acted as guerrilla fighters, pillaging and terrifying the Empire before finally defeating the Byzantines in pitched battle at Gallipoli in 1305. In just two years, the Company had devastated the fields of Makedonía and Tráki, fomenting absolute terror. The Company, after several major confrontantions were actually able to grasp power in Athens and Thebes, which they then ceded to the Crown of Aragón, whereupon they rejoined the ranks of their countrymen. They were in many ways the first of the condottieri, heralds of a new age in warfare, the rise of the proffessional mercenary soldier.	PLACEHOLDER LIGHT INFANTRY	light infantry	Almoguvars- Nacho said they did not upgrade their gear	-	-	Mercenary	South Italy, Greece.	high, late	yes	freemen	Elite		BASE:none (mountain furs), UP1: some mail, UP2: none, UP3: none, SHIELD: , HELMET: 	Assegai javelin	falchion/cleaver	catalans	javelin/short spear	-	-	infantry	spearmen	light	English	main_spear	-	250	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	warcry, devastating javelin attack, bonus against cavalry, good melee combat, good morale, increased stamina, armour piercing, bonus when fighting in mountains.	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	20000	20000	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	all, slave	all, slave	all, slave	all, slave	-	1
catapult	Catapult	Catapult	PLACEHOLDER SIEGE ENGINE	PLACEHOLDER SIEGE ENGINE	siege	-	-	-	all	all 	early, high	-	freemen	normal		BASE:leather, UP1: n/a, UP2: n/a, UP3: n/a, SHIELD: n/a, HELMET: 	n/a	n/a	Catapult	-	-	-	siege	missile	heavy	English	main_infantry	-	-	NE_Ballista_Crew	16	2	1	-	-	-	-	ballista	-	-	-	-	sea_faring, hardy, can_withdraw, artillery, general_unit	1.5, 1.5	3, 3	3	square	1	0	6	3	no	0	0	melee	artillery_mechanical	piercing	knife	,	25	1.8	-	-	-	no	55	3	ballista	180	50	siege_missile	artillery_mechanical	piercing	none	,	25	1	-	-	-	ap, bp, launching	4	4	0	leather	0	0	flesh	1	0	0	0	0	-	9	disciplined	highly_trained	30	0	-	-	1	370	150	90	70	370	4	90	12	1	NE_Ballista_Crew	all, slave	all, slave	all, slave	all, slave	-	1
cathar_infantry	Cathar soldiers	Bons Chretiens	Credentes or Believers, were the ordinary followers of what became known as the Cathar or Albigensian movement, a Christian sect which flourished in western Europe during the 11th, 12th and 13th Centuries. Credentes constituted up the main part of the Cathar community in the region. Cathar 'heresy' believed in pacifism but in the persecutions, particularly during the Albigensian Crusade they forced to occupy castles and defend themselves. They referred to themselves merely as 'good christians', and although they had their heartland in Languedoc their branches sprang up all over Europe. While only conditionally militant, they often presented a serious threat to the Catholic order, and this was no doubt down to their vast numbers. They were closely related to the Bogomils, and were sometimes indistinguishable since it was outsiders who defined their religion in categorical terms. It is now generally agreed by most scholars that identifiable Catharism did not emerge until at least 1143, when the first confirmed report of a group espousing similar beliefs is reported being active at Cologne by the cleric Eberwin of Steinfeld. A landmark in the 'institutional history' of the Cathars was the Council, held in 1167 at Saint-Félix-Lauragais, attended by many local figures and also by the Bogomil papa Nicetas, the Cathar bishop of (northern) France and a leader of the Cathars of Lombardy. The Cathars were largely a homegrown, Western European/Latin Christian phenomenon, springing up in the Rhineland cities (particularly Cologne) in the mid-12th century, northern France around the same time, and particularly southern France—the Languedoc—and the northern Italian cities in the mid-late 12th century. In the Languedoc and northern Italy, the Cathars would enjoy their greatest popularity, surviving in the Languedoc, in much reduced form, up to around 1325 and in the Italian cities until the Inquisitions of the 1260s–1300s finally rooted them out. In the case of the Albigensian crusade, it was the population of Toulouse -around 30,000 people that refused to give up their native minority population of merely 3000 Cathars, this popularity is a credit to their piety and the respect they held amongs the local communities they came in contact with. It is for this reason perhaps that they endured so much persecution, given shelter by the common people. Waldensians in the latter Middle Ages were also an offshoot of the Catharian heresy 	PLACEHOLDER LIGHT INFANTRY	light infantry	Good defence, good morale, peasants	-	-	Regional Rebels	Jaca, Pamplona, Barcelona, Tolosa, Bordèu, Orléans, Ghent, Cöln, Aics, Baselia, Lyon, Raben, Ancona, Milan, Genoa, Turin, Bologna, Verona, Erphesfurt, Regensburg, Trier, Frankfurt	all	-	freemen	militia		BASE:none, UP1: gambeson, UP2: , UP3: , SHIELD: , HELMET: 	farmtool	none	pilgrims/peasants?	-	-	-	infantry	spearmen	light	English	main_spear	-	-	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	druid	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	2	3	normal	trained	30	0	700	500	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	slave	slave	slave	slave	-	1
cilician_cavalry	Cilician cavalry	Ayrudzi 	Cilician cavalry, well-known in the Byzantine era as the heaviest cataphracts by the time of Cilician Armenia may had fled their homelands and sought service in Egypt. Many that remained in Old Armenia or moved into Cilician were very westernised and were very much like European knights.	PLACEHOLDER HEAVY CAVALRY	heavy cavalry	heavily armoured large unit, cheap, medium morale	-	-	Regional, or Armenia faction	Adana, Armenia, Egypt	all	yes	freemen	levy		BASE:heavy cataphract, UP1:-, UP2: -, UP3: , SHIELD: yes, HELMET: yes	Lanzalonga	metalheaded mace, sword	-	-	-	-	cavalry	heavy	heavy	English	main_cavalry	-	-	Feudal_Knights	32	0	1	-	-	-	-	-	-	barded horse	elephant -4, camel -4	-	sea_faring, hide_forest, hardy, can_withdraw, can_formed_charge, knight, general_unit	2, 4.4	3, 6	2	square, wedge	1	0	10	6	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	11	4	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	7	5	4	metal	0	0	flesh	5	0	-2	-4	0	4	9	impetuous	trained	45	0	-	-	1	730	250	120	95	730	4	180	-	3, 4	Feudal_Knights	all, slave	all, slave	all, slave	all, slave	-	1
communes_infantry	Italian communal infantry	Citadini	PLACEHOLDER LIGHT INFANTRY	PLACEHOLDER LIGHT INFANTRY	light infantry	Citizens of Italian communes serving as infantry.	-	-	cl & ct	northern Italy	early high	-	freemen	levy		BASE:unarmored, UP1: padded leather, UP2: gambeson, UP3: none, SHIELD: triangular, HELMET: yes	infantry spear	shortsword	Sergeant spearmen tier1 & 2	spear	-	http://wpcontent.answcdn.com/wikipedia/commons/thumb/b/ba/Parzival.Lauber.jpg/28-px-Parzival.Lauber.jpg	infantry	spearmen	light	English	main_spear	-	100	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	spear wall?	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	200	800	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	milan, pisa	milan, pisa	milan, pisa	milan, pisa	-	1
