Shared		Tooltips		Strat		Quotes		Export_Buildings		Expanded	
ST_VICTORY_CRUSHING	Heroic Victory	TMT_TIME_TO_CONSTRUCT	Number of turns required to construct item	SMT_END_SIEGE	Lift the siege	A man can do all things if he but wills them.	Leon Battista Alberti, humanist philosopher	settlement_upgrade_large_town	UPGRADE LARGE TOWN	EMT_ARMOUR_LEVEL_0	None
ST_BATTLE_NO_RESULT	Unresolved	TMT_COST_OF_RECRUITMENT_UNIT	Cost to recruit unit	SMT_AGE	Age:	When I investigate and when I discover that the forces of the heavens and the planets are within ourselves, then truly I seem to be living among the gods.	Leon Battista Alberti, humanist philosopher	settlement_upgrade_large_town_desc	UPGRADE TOWN TO A CITY	EMT_ARMOUR_LEVEL_1	Padded
ST_COHORT	Cohort	TMT_TIME_TO_RECRUIT	Number of turns required to train	SMT_LOYALTY	Loyalty	He knows God rightly who knows Him everywhere.	Sermon V, Meister Johannes Eckhart	settlement_upgrade_large_town_desc_short	UPGRADE TOWN TO A CITY	EMT_ARMOUR_LEVEL_2	Light Mail
ST_UNIT_TYPE	Unit type	TMT_SEASON_SUMMER	Summer	SMT_GOVERNOR	Governor	Lasciate ogni speranza voi chentrate! (Abandon all hope, you who enter!) 	Inscription at the entrance to Hell, in the Divina Commedia by Dante Alighieri	settlement_upgrade_city	UPGRADE CITY	EMT_ARMOUR_LEVEL_3	Heavy Mail
ST_EXPERIENCE	Experience	TMT_SEASON_WINTER	Winter	SMT_GARRISON	Garrison	Nothing ought to be posited without a reason given, unless it is self-evident or known by experience or proved by the authority of Sacred Scripture. 	Ockhams razor	settlement_upgrade_city_desc	UPGRADE CITY TO A LARGE CITY	EMT_ARMOUR_LEVEL_4	Partial Plate
ST_CASUALTIES	Casualties	TMT_REMAINING_ACTION_POINTS	Movement points\nThe dark blue bar represents points remaining\nLight blue section represents affect on movement points after current action is performed	SMT_RECRUITMENT_COST	Cost to Recruit:	Now it is known That the king had guarded Well the temples, So Haakon the Good Was welcomed with gladness By the kind gods.	From the saga of Haakon the Good	settlement_upgrade_city_desc_short	UPGRADE CITY TO A LARGE CITY	EMT_ARMOUR_LEVEL_5	Full Plate
ST_GAINED	Gained	TMT_ACCEPT_FIELD_CONSTRUCTION	Build selected item	SMT_RECRUITMENT_TIME	Time to Recruit:	What cracked with such a loud noise? Norway out of your hands, sire	Olaf Trygvasson to Einar Tambarskjelve, at the battle of Svölðr	settlement_upgrade_large_city	UPGRADE LARGE CITY	EMT_ARMOUR_LEVEL_6	Advanced Plate
ST_INFLICTED	Inflicted	TMT_CANCEL_FIELD_CONSTRUCTION	Do not build anything	SMT_RETRAIN_TIME	Time to Retrain:	Odin is the highest and oldest of the gods. He rules all things and no matter how mighty the other gods may be, they all serve him as children do their father....He lives for ever and ever, and rules over the whole of his kingdom and governs all things great and small. He created heaven and earth and sky and all that is in them.	Snorre Sturluson 1178-1241, Icelandic historian, poet, politician and christian	settlement_upgrade_large_city_desc	UPGRADE CITY TO A HUGE CITY	EMT_HERETIC	Heretic
ST_SUSTAINED	Sustained	TMT_BUILD_FORT_OR_WATCHTOWER	Construct fort or watchtower	SMT_RETRAIN_COST	Cost to Retrain:	I kill without compunction, and remember all my killings. Treason must be scotched by fair means or foul before it overwhelms me. The oak trees of insurrection grow from the acorns of treachery 	Harald Hardraade	settlement_upgrade_large_city_desc_short	UPGRADE CITY TO A HUGE CITY	EMT_INQUISITOR	Inquisitor
ST_HEALED	Healed	TMT_CANNOT_BUILD_FORT_OR_WATCHTOWER	Cannot construct fort or watchtower here	SMT_FIGHT_BATTLE	Fight battle on battle map	Svein knew of another island discovered by many in that ocean. It is called Wineland because wild grapes grow there; producing the best wine... As we have learned not from fabulous conjecture but from reliable report of the Danes. 	Adam of Bremen, writing of America circa 1080			EMT_WITCH	Witch
ST_MEN_REMAINING	Men Remaining	TMT_CANNOT_ATTACK_FROM_SIEGED_SETTLEMENT	When under siege it is only possible to attack the sieging army	SMT_WITHDRAW	Withdraw from battle	Toho bohdá nebude, aby český král z boje utíkal! (Let it never be the case that a Bohemian king runs from a fight!) 	John of Luxembourg, blind King of Bohemia, before he died facing the English at the Battle of Crécy				
ST_SHIP	Ship	TMT_SHOW_GENERAL_UNIT_DETAILS	Show unit details for this character's bodyguard unit	SMT_AUTORESOLVE	Automatically resolve battle	The Seat of the Roman Empire is Constantinople, and he who is and remains Emperor of Constantinople is also Emperor of the whole Earth 	George Trapezuntios' attempt to covert Sultan Mehmet the Conqueror after the Fall of Constantinople				
ST_SHIPS	Ships	TMT_LCLICK_SELECT	Left-click to select	SMT_DISBAND	Disband unit\nNaval units cannot be disbanded if transported army cannot disembark\nGeneral's units cannot be disbanded.	The fortunes of the Roman Empire have sunk to their lowest ebb. For the armies of the East are dispersed in all directions, and because the Turks have over-spread, and gained command of all countries 	Anna Komnene- The Alexiad				
ST_TYPE	Type	TMT_RCLICK_INFO	Right-click to get further information	SMT_DOCTOR_DESCR	DO NOT TRANSLATE: THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN!	The Syrians who are gluttons, the Cilicians who are pirates, the Isaurians who are thieves, and even the Italian knights who are so proud, all put away their pride to be present at his triumph	Nicetas Choniates on Manuel Komnenos				
ST_HULL	Hull	TMT_LDBL_CLICK_INFO	Double Left-click to get further information	SMT_QUARTERMASTER_DESCR	DO NOT TRANSLATE: THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN!	The deeds of cruelty, massacre, violence, pillage, arson, imprisoning prelates, burning down monasteries, robbing and killing monks and nuns, and yet other outrages without number which he committed against our people, sparing neither age nor sex, religion nor rank, no one could describe nor fully imagine unless he had seen them with his own eyes. 	The Declaration of Arbroath, 1320 on King Edward Longshanks				
ST_DAMAGE	Damage	TMT_CURSOR_ATTACK	Right-click to attack	SMT_PRIEST_DESCR	These men of faith essentially serve as a mobile conversion force, spreading their faction's religion wherever they travel. While the soldiers battle their faction's physical threats, these are the men who form your front line against the perils of heresy, and can actually denounce witches and heretics that stalk the land - this is the perfect way to prove one's faith and conviction.	It is in truth not for glory, nor riches, nor honours that we are fighting, but for freedom — for that alone, which no honest man gives up but with life itself.	The Declaration of Arbroath, 1320				
ST_LIGHT	light	TMT_CURSOR_MOVE	Right-click to move to position	SMT_SCOUT_DESCR	DO NOT TRANSLATE: THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN!	As long as but a hundred of us remain alive, never will we on any conditions be brought under English rule.	The Declaration of Arbroath, 1320				
ST_MEDIUM	Medium	TMT_CURSOR_SELECT	Right-click to select	SMT_ENGINEER_DESCR	DO NOT TRANSLATE: THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN!	Had I been present at the Creation, I would have given some useful hints for the better ordering of the universe.	King Alfonso the Wise of Castile				
ST_HEAVY	heavy	TMT_CURSOR_MOVE_MAP	Scroll map	SMT_SPY_DESCR	Spies are the eyes and ears of your faction, capable of being sent to observe foreign settlements or armies - hopefully undetected. Aside from sending intelligence on structures and inhabitants, once working inside a settlement, spies begin to stir unrest among the populace with propaganda. They may also succeed in disabling defences in a siege, which can prove utterly decisive.	The Greek Church has seen in the Latins nothing other than an example of affliction and the works of Hell, so that now it rightly detests them more than dogs	Pope Innocent III on the Fourth Crusade				
ST_SUNK	Sunk	TMT_CURSOR_MOUSE_LOOK	Mouse look	SMT_ASSASSIN_DESCR	An assassin is the ideal man to call upon when a foreign target is either too well defended by armed forces for a frontal assault, or if you wish to strike without it being obvious that it was you that gave the order. Not only can assassins take out live targets, they can also bring down a building marked for sabotage, and can even specialise in this field of destruction.	God caused the sun of empire to shine in the mansion of the Turks and turned the heavenly spheres around their dominion 	Al Kashgari, 11th century Turkic Scholar				
ST_SOUND_OPTIONS	Sound Options	TMT_CURSOR_CLICK_DOWN	Click down	SMT_DIPLOMAT_DESCR	A diplomat is a man who serves his people as a representative in negotiations. His well-spoken manner and ability to read those he deals with will come to the fore whether he is being sent to impress, flatter, bribe, threaten or barter with foreign dignitaries and officials.	Constantinople is a city larger than its renown proclaims. May God is his grace and generosity deign to make it capital of Islam 	Hasan Ali Al-Harawi, 12th century Arab writer				
ST_MUTE	Mute	TMT_CURSOR_EXCHANGE	Right-click to exchange units and characters 	SMT_ADMIRAL_DESCR	An admiral is naval commander who leads an entire fleet. The abilities and retinue that an admiral can develop throughout their career can improve their abilities to fight and navigate more efficiently. Once an admiral has begun to earn command stars through a proud legacy of victory, they will not serve under another admiral.	There is no certainty of victory in war, even when the equipment and numerical strength that cause victory exist. Victory and superiority in war come from luck and chance	Ibn Khaldun, 14th century Arab historian				
ST_SOUND_MAIN_VOL	Main	TMT_CURSOR_DEFAULT_ACTION	Right-click to perform mission	SMT_ARMY_UPKEEP	Army Upkeep	A Knight without fear or blame who often had to teach his opponents the right way to practice chivalry.	An inscription written by Kaiser Wilhelm II on a wreath he lay on Saladin's Tomb				
ST_SOUND_SFX_VOL	Special Effects	TMT_CURSOR_NO_ACTION	No action possible on this target	SMT_LOYALTY_REVOLTING	Revolting	To endeavour to domineer over conscience, is to invade the citadel of heaven	Charles V King of Spain and Holy Roman Emperor				
ST_SOUND_MUSIC_VOL	Music	TMT_CURSOR_ENTER_SETTLEMENT	Right-click to enter settlement	SMT_LOYALTY_RIOTING	Rioting	My cousin Francis and I are in perfect accord - he wants Milan, and so do I.	Charles V King of Spain and Holy Roman Emperor				
ST_SOUND_SPEECH_VOL	Speech	TMT_CURSOR_DISEMBARK	Right-click to disembark	SMT_LOYALTY_DISILLUSIONED	Disillusioned	From the flaming and flashing of certain igneous mixtures and the terror inspired by their noise, wonderful consequences ensue which no man can guard against or endure	Roger Bacon, 13th century English monk, on the effects of gunpowder				
ST_SOUND_SUBTITLES	Subtitles	TMT_CURSOR_SET_RALLY_POINT	Right-click to set settlement's rally point	SMT_LOYALTY_CONTENT	Content	When it marched, the air seemed like a forest because of its lances, and when it stopped, the earth could not be seen for tents	Tursun Bey on the Ottoman army				
ST_SOUND_ENGLISH	English	TMT_CURSOR_AUTO_MERGE	Right-click to merge units 	SMT_LOYALTY_HAPPY	Happy	Battles on the sea are more dangerous than battles on the land, for on the sea there is no recoiling nor fleeing, there is no remedy but to fight and to abide fortune, and every man show his prowess.	Jean Froissart, 14th century French chronicler				
ST_GFX_OPTIONS	Graphics Options	TMT_NO_MULTITURN_MISSIONS	Cannot attack or perform missions over multiple turns	SMT_FORTIFICATION_NONE	No fortifications	These tribulations are for Gods sake. The sword of Islam is in our hands. If we had not chosen to endure these tribulations, we would not be worthy to be called Ghazis. We would be ashamed to stand in Gods presence on the Day of Judgement	Mehmet the Conqueror				
ST_GFX_UNIT_DETAIL	Unit Detail	TMT_NO_MULTITURN_EXCHANGES	Cannot merge or exchange units over multiple turns	SMT_FORTIFICATION_0	Wooden	There must only be one empire, one faith, and one sovereign in the world	Mehmet the Conqueror				
ST_GFX_BUILDING_DETAIL	Building Detail	TMT_SIEGE_EQUIPMENT_NOT_REQUIRED	Construction of this siege equipment is not required	SMT_FORTIFICATION_1	Large wooden	Be careful whom you threaten, if you want war you will find it.	Boleslaw Krzywousty King of Poland in response to the tribute demands of Emperor Henry V				
ST_GFX_ANTIALIASING	Anti-Aliasing	TMT_NO_DIPLOMACY_WITH_REBELS	Diplomacy is not possible with rebels	SMT_FORTIFICATION_2	Stone	Fight in such a way that you will once more prove to the barbarians that you are a nation of masters and not of slaves because this is the most suitable way for the descendants of Greeks and Romans!	Konstantinos Palaiologos, Last Roman Emperor, at the Siege of Contantinople 1453				
ST_GFX_WIDESCREEN	Widescreen	TMT_RESOURCE_TRADE_VALUE	Trade resource worth %d florins per turn	SMT_FORTIFICATION_3	Large stone	Consider your origins: you were not made that you might live as brutes, but so as to follow virtue and knowledge.	Dante in The Divine Comedy				
ST_GFX_SMOKE	Smoke	TMT_ROADS_TOOLTIP	Road: Allows armies to march further\nAlso adds to trade income\nThe amount of traffic indicates the amount of trade	SMT_FORTIFICATION_4	Epic	The name of mistress instead of wife would be dearer and more honourable for me, only love given freely, rather than the constriction of the marriage tie, is of significance to an ideal relationship.	Heloise, mistress to Peter Abelard, French Theologian				
ST_GFX_USE_TNL	Use TNL	TMT_PAVED_ROADS_TOOLTIP	Paved road: Allows armies to march efficiently at speed\nAlso adds to trade income\nThe amount of traffic indicates the amount of trade	SMT_MISSION_INFILTRATE	Infiltration Mission	For likewise as chivalry gives to a knight all that to him appertains, in likewise a knight ought to give all his forces to honour chivalry.	Ramon Lull, Book of Knighthood and Chivalry, d. 1315				
ST_GFX_DUST	Dust	TMT_HIGHWAYS_TOOLTIP	Highways: Allows armies to march long distances\nAlso adds to trade income\nThe amount of traffic indicates the amount of trade	SMT_MISSION_DIPLOMACY	Diplomacy Mission	You took the cross upon your shoulders, and on that Cross and on the Holy Gospels you swore that you pass over Christian lands without violence. 	Nicetas Choniates, Alexios Ducas (IV, 4), on the sacking of Constantinople by the Latin crusaders in 1204				
ST_GFX_REFLECTIONS	Reflections	TMT_SEA_LANES_TOOLTIP	Trade route between settlements with ports	SMT_MISSION_BRIBE	Bribery Mission	You assured us that your only enemy was the Saracen, and that his blood only would be shed...Far from carrying the Cross, you profane it and trample it underfoot.	Nicetas Choniates, Alexios Ducas (IV, 4), on the sacking of Constantinople by the Latin crusaders in 1204				
ST_GFX_SHADOW_DETAIL	Shadow Detail	TMT_FAMOUS_BATTLE_SITE_TOOLTIP	An epic battle of great renown was fought here	SMT_MISSION_SPYING	Spying Mission	You claim to be in quest of a pearl beyond price, but in truth you fling that most precious of all pearls, which is the body of our Saviour, into the mud. The Saracens themselves show less impiety.	Nicetas Choniates, Alexios Ducas (IV, 4), on the sacking of Constantinople by the Latin crusaders in 1204				
ST_GFX_BRIGHTNESS	Brightness	TMT_INFLUENCE_LEVEL_0	A ripe turnip has more influence over the ways of men than this lowly wretch	SMT_MISSION_ASSASSINATE	Assassination Mission	Heretics try to tear the seamless robe of our God.	Emperor Frederick II, Liber Augustalis				
ST_SUPER_LOW	Lowest	TMT_INFLUENCE_LEVEL_1	Even when he is full of conviction, nobody listens too much to this man	SMT_MISSION_SABOTAGE	Sabotage Mission	A wise man has said that there is nothing that wins over the hearts of a rulers subjects more nor that draws them to their lord so much as when they find gentleness and kindness in him.	Christine de Pisan, The Treasure of the City of Ladies, d. 1434				
ST_LOW	Low	TMT_INFLUENCE_LEVEL_2	It is said even this man's wife barely takes heed of what he says	SMT_NAME	Name	No free man shall be taken or imprisoned or dispossessed, or outlawed or exiled, or in any way destroyed, nor will we go upon him, nor will we send against him except by the lawful judgement of his peers or by the law of the land.	The Magna Carta 				
ST_NORMAL	Normal	TMT_INFLUENCE_LEVEL_3	Though his statements are usually considered sound, he lacks the charisma to influence others	SMT_FORT	Fort	Oh, most valiant soldiers and descendants of invincible ancestors, be not degenerate, but recall the valour of your progenitors.	Robert the Monk’s version of Pope Urban II’s speech at Claremont, 1095				
ST_HIGH	High	TMT_INFLUENCE_LEVEL_4	This man is considered decent counsel, but is yet to hold any real presence in the royal courts	SMT_FACTION	Faction	The King desires our money, / The Queen our manors too, / The writ of By what warrant / Will make a sad to-do.	Walter of Guisborough, Statutes of Edward I				
ST_SUPER_HIGH	Super high	TMT_INFLUENCE_LEVEL_5	Considered important enough that most minor lordlings would listen carefully to his counsel	SMT_PORT	Port	Because barons and still more commonly knights and squires and gentlemen travel and go off to the wars, their wives should be wise and sound administrators and manage their affairs well, because most of the time they stay at home without their husbands, who are at court or abroad.	Christine de Pisan, The Treasure of the City of Ladies, d. 1434				
ST_SCREENMODE	Screen mode	TMT_INFLUENCE_LEVEL_6	Though he may not always win every debate he enters, his counsel always wins him respect	SMT_POPULATION	Population	How far will you flee? Stand, and act like men!	Sichelgaita of Salerno, Duchess of Apulia, 1081				
ST_LOAD_SUCCESS	Game load succeeded	TMT_INFLUENCE_LEVEL_7	Is known to be able to make others adopt a perspective that is otherwise against their beliefs	SMT_FATIGUE	Fatigue level	The Earth, my mother, you have given me life, you feed me, you carry me and after death I will rest within you 	Kissing the soil, an evening prayer of Lithuanian pagans				
ST_LOAD_FAILED	Game load failed	TMT_INFLUENCE_LEVEL_8	Considered an even-handed font of wisdom on most matters, even by the enemies of his people	SMT_EXPERIENCE	Experience	Davei manei, Žemele, duodame ir tau (As you have given to us, Mother Earth, we are giving unto you) 	Lithuanian pagan prayer for the land to continue to be fruitful				
ST_SAVE_SUCCESS	Game save succeeded	TMT_INFLUENCE_LEVEL_9	So convincing are this man's arguments that he can manipulate a learned audience with ease	SMT_MILD	mild	You say that God is a just judge? Absolute nonsense! In future something that people can bend so easily must be subject to my justice and not the ordeal of God	William Rufus, King of England, after 50 people accused of poaching his deer had proved their innocence through the ordeal of hot iron				
ST_SAVE_FAILED	Game save failed	TMT_INFLUENCE_LEVEL_10	Scholars follow this man, seeking to quote his highly influential statements and musings	SMT_MASSIVE	massive	A Templar Knight is truly a fearless knight, and secure on every side, for his soul is protected by the armour of faith, just as his body is protected by the armour of steel. He is thus doubly armed, and need fear neither demons nor men.	Bernard de Clairvaux, 1135 				
ST_END_GAME	Quit Game	TMT_COMMAND_LEVEL_0	This man would wet himself at the notion he should be in charge at all	SMT_CATASTROPHIC	catastrophic	If the infidels, upon receiving the call, neither consent to it nor agree to pay capitation tax, it is then incumbent on the Muslims to call upon God for assistance, and to make war upon them	al-Mawardi, giving the basis for the legitimate nature of jihad				
ST_LOAD	Load Game	TMT_COMMAND_LEVEL_1	Young peasant girls laugh when this man tries to tell them what to do	SMT_SMALL	small	It is not the wont of kings, to kill kings; but that man had transgressed all bounds, and therefore did I treat him thus.  	Saladin on sparing the life of Guy of Lusignan after his capture				
ST_SAVE	Save Game	TMT_COMMAND_LEVEL_2	A born follower, this man has no notion of what leadership is about	SMT_MEDIUM	moderate	This place is holy, sanctified by the blood of Christ. By our consecration we add nothing to its holiness 	An inscription at the church of the Holy Sepulchre written by Crusaders, 15 July 1149				
ST_RETURN_TO_GAME	Return to Game	TMT_COMMAND_LEVEL_3	Understands the concepts of chain of command, but knows little of what orders to give	SMT_LARGE	large	War springs from the nobly born; famous pedigrees are the makers of war. For the perilous deeds which chiefs atempt are not to be done by the ventures of common men...No dim and lowly race, no low-born dead, no base souls are Plutos prey, but he weaves the dooms of the mighty, and fills Phlegethon with noble shapes.	Saxo Grammaticus clergyman, historian and former soldier				
ST_EXIT_MENU	Exit Menu	TMT_COMMAND_LEVEL_4	Hardly a tactical genius, but this man is showing some aptitude for leadership	SMT_HUGE	huge	The chieftain let his sea-cold ships hull glide forth through the waters of Greece; I offer praise to the prince. He sailed till he cast anchor upon Acre. I saw the battle-glad lord, enter the walls of Jerusalem; nowhere under the heavens is a more noble prince known.	Saga of the Norwegian King Sigurd Jorsalfar 1090-1130, crusader in Palestine with Baldwin of Jerusalem				
ST_CONFIRM_QUIT	Really quit?	TMT_COMMAND_LEVEL_5	Given the right troops and conditions, this man can typically lead an armed force to victory	SMT_CURRENTLY_BUILDING	Currently building:	And the swift foe of the gold could bathe in Jordans clear stream. This deed must be praised by all. Then the heathen town of Sidon didst thou win by might, yet thou gavest it away. Generous feeder of the wolves!	Saga of the Norwegian King Sigurd Jorsalfar 1090-1130, crusader in Palestine with Baldwin of Jerusalem				
ST_STATE_IN_SETTLEMENT	Visiting settlement	TMT_COMMAND_LEVEL_6	Calm and confident at the head of an army, and usually decisive in victory	SMT_HEALTHY	Healthy	The power of the king is the power of God	(Norman Anonymous)				
ST_STATE_ON_SHIP	Travelling on ship	TMT_COMMAND_LEVEL_7	Though he is but one man, his aura of command is powerful enough to inspire many on the battlefield. 	SMT_TIRED	Tired	The king himself must be, not under Man, but under God and the Law, because Law makes the king 	Henry de Bracton				
ST_STATE_WITH_ARMY	Travelling with army	TMT_COMMAND_LEVEL_8	This man has leadership qualities to enable men to go beyond their own abilities on any battlefield. 	SMT_ILL	Ill	I will ward off your enemies as felt cloth protects one from the wind	Subedai to Genghis Khan				
ST_STATE_SIEGING	Laying siege	TMT_COMMAND_LEVEL_9	So bold and confident in command, this man could lead an angry mob to conquer an empire	SMT_DYING	Dying	Cut down, he said, the governors who become overproud. Let no generals on campaign have too many resources. Exhaust them with unjust exactions, to keep them busied with their own affairs. Admit no woman to the imperial councils. Be accessible to no one. Share with few your most intimate plans.	Sclerus answering Basil’s question				
ST_STATE_AMBUSHING	Lying in ambush	TMT_COMMAND_LEVEL_10	On the battlefield, this man's will is always realised! He is a true master of warfare	SMT_ARMY_DETAILS	Army Details	…He knew the various formations suited to his men. Some he had read of in books, others he devised himself during the operations of war, the result of his own intuition. He professed to conduct his wars and draw up the troops in line of battle, himself planning each campaign, but he preferred not to engage in combat personally	Chronographia of Michael Psellus				
ST_STATE_CAMPED	Camped	TMT_MANAGEMENT_LEVEL_0	tooltips.txt:TMT_MANAGEMENT_LEVEL_0	SMT_ENEMY_ARMY_DETAILS	Enemy Army Details	Basil did not follow the customary procedure of other emperors…He endured the rigours of winter and the heat of summer with equal indifference. He disciplined himself against thirst. In fact, all his natural desires were kept under stern control, and the man was as hard as steel	Chronographia of Michael Psellus				
ST_STATE_ENTRENCHED	Entrenched	TMT_MANAGEMENT_LEVEL_1	tooltips.txt:TMT_MANAGEMENT_LEVEL_1	SMT_ALLIED_ARMY_DETAILS	Allied Army Details	A detachment of barbarian soldiers, all equipped in their own fashion, daring bareback riders, lay in ambush on either side of the armys route. By not keeping in close order, they created the illusion of great numbers, running about in scattered groups and with no regular formations. This so terrorized the Roman soldiery and spread such panic in this mighty and famous army, and so shattered their morale, that they all ran away …	Chronographia of Michael Psellus				
ST_STATE_HEALTH_RISK	Unhealthy	TMT_MANAGEMENT_LEVEL_2	tooltips.txt:TMT_MANAGEMENT_LEVEL_2	SMT_NEUTRAL_ARMY_DETAILS	Neutral Army Details	O Islam! O God grant your servant Qutuz a victory against the Mongols 	Qutuz				
